green,red,IR,acc_x,acc_y,acc_z,sample_index
86161,173614,224240,-7.274180704,-2.7003003040999998,6.0693945249,1
86445,173670,224199,-7.3543402611,-2.7421746995999996,5.967699564399999,2
86734,173724,224275,-7.1461646949,-2.9001009912,6.0131631938000005,3
86961,173707,224276,-7.265805824899999,-2.8821548217,5.9820565,4
87017,173755,224354,-7.2311098972,-2.7864419177,6.009573959900001,5
86423,173728,224241,-7.3052873978,-2.6739792555000004,6.0729837587999995,6
85274,173557,224125,-7.1916283243,-2.8223342567,6.0203416616,7
84078,173383,223952,-7.118647235,-2.7553352239,5.9246287576,8
83101,173248,223939,-7.1772713886999995,-2.8223342567,5.9748780322,9
82296,173091,223815,-7.278966349199999,-2.8007988533,6.0598232345,10
81895,173038,223762,-7.3244299786000004,-2.7828526838,5.9748780322,11
81978,172988,223721,-7.167700098299999,-2.7960132080999998,5.942574927099999,12
82225,172995,223784,-7.319644333399999,-2.6548366747000003,5.9892349678,13
82560,173049,223796,-7.125825702799999,-2.8067809098,6.0107703712000005,14
82816,173116,223837,-7.250252477999999,-2.7433711108999996,6.029912952,15
82947,173122,223847,-7.2753771152999995,-2.7361926431000003,6.051448355400001,16
83237,173156,223851,-7.1342005819,-2.7696921595,6.1555361385,17
83477,173176,223903,-7.1796642112999995,-2.7804598612,5.9653067418,18
83728,173216,223987,-7.1892355017,-2.7194428849,6.1028940413,19
84019,173261,224019,-7.0791656621,-2.8546373618,5.984449322600001,20
84287,173279,224059,-7.1784678,-2.8139593776000003,6.0107703712000005,21
84618,173327,224016,-7.323233567299999,-2.8163522002,5.9473605723,22
84928,173391,224108,-7.399803890499999,-2.7661029256000003,5.9748780322,23
85206,173432,224101,-7.3507510272,-2.7589244578,6.0885371056999995,24
85464,173461,224178,-7.444071108599999,-2.8163522002,6.005984725999999,25
85750,173479,224179,-7.3399833255,-2.7385854657,6.0263237181000004,26
86006,173544,224212,-7.1772713886999995,-2.8211378454,5.938985693199999,27
86122,173588,224229,-7.1760749774,-2.6691936103000002,5.996413435599999,28
85585,173545,224253,-7.2107709050999995,-2.7649065143000002,5.9916277904,29
84448,173392,224105,-7.281359171799999,-2.7003003040999998,5.941378515799999,30
83225,173217,223977,-7.2083780824999995,-2.7996024420000003,5.9126646445999995,31
82220,173073,223864,-7.3148586882,-2.7146572396999997,5.955735451400001,32
81497,172925,223770,-7.2729842927,-2.7373890544,5.9365928706,33
81159,172853,223724,-7.2646094136,-2.9096722816000002,5.9461641610000004,34
81165,172837,223717,-7.2765735266,-2.8378876036,5.9318072254,35
81512,172756,223763,-7.2574309458,-2.7912275628999996,6.0562340006,36
81883,172904,223753,-7.286144817,-2.7553352239,6.034698597199999,37
82178,172956,223846,-7.2610201797,-2.7840490951,6.0287165407000005,38
82408,172959,223890,-7.3052873978,-2.8462624827,6.067001702300001,39
82624,173009,223893,-7.2717878814,-2.7074787719,5.9868421452,40
82901,173036,223931,-7.190431913,-2.9347969189,5.9018969429000006,41
83118,173059,223928,-7.1330041706000005,-2.8283163132,5.9988062582,42
83378,173094,223979,-7.307680220399999,-2.8426732488,5.9198431124,43
83703,173143,224000,-7.2957161074000005,-2.8725835312999997,6.053841177999999,44
84018,173232,224027,-7.2011996147,-2.787638329,5.9629139192,45
84358,173250,224130,-7.3124658656,-2.8199414341,5.922235935,46
84607,173288,224127,-7.365107962800001,-2.8522445392,5.9497533949,47
84918,173350,224141,-7.3399833255,-2.8091737324,6.041877065,48
85197,173337,224171,-7.2705914701,-2.8737799425999997,5.9772708547999995,49
85499,173415,224191,-7.345965381999999,-2.7457639335,5.9629139192,50
85607,173451,224230,-7.1282185253999995,-2.8941189347,5.9820565,51
85014,173390,224190,-7.2933232848,-2.8929225234,6.0550375893,52
83893,173249,224045,-7.3220371559999995,-2.8271199019,5.927021580200001,53
82784,173080,223918,-7.2646094136,-2.8749763539,5.925825168899999,54
81891,172956,223777,-7.223931429399999,-2.8414768375,5.9629139192,55
81319,172869,223731,-7.2957161074000005,-2.7505495787000003,6.034698597199999,56
81031,172787,223651,-7.250252477999999,-2.8785655878,5.9988062582,57
81279,172755,223685,-7.3914290114000005,-2.8749763539,5.9904313791,58
81676,172838,223686,-7.155735985300001,-2.7948167968,5.996413435599999,59
82054,172859,223798,-7.3507510272,-2.7098715945,5.9593246853,60
82317,172893,223814,-7.1880390904,-2.7003003040999998,6.017948839,61
82529,172929,223829,-7.2969125187,-2.8594230069999997,6.009573959900001,62
82817,172983,223861,-7.3148586882,-2.835494781,5.994020613,63
83062,173016,223941,-7.1593252192,-2.8462624827,6.0035919034,64
83343,173038,223950,-7.2035924373,-2.8905297008,5.9509498062,65
83645,173117,223936,-7.1796642112999995,-2.8283163132,6.0107703712000005,66
83869,173146,223972,-7.3722864306,-2.8055844984999996,6.037091419799999,67
84259,173210,224045,-7.310073043,-2.9659036127,6.025127306799999,68
84580,173253,223983,-7.2035924373,-2.8941189347,6.0358950085,69
84880,173288,224094,-7.2346991311,-2.8055844984999996,5.9150574672000005,70
85161,173312,224116,-7.3005017526,-2.8666014748,5.9796636774,71
85440,173392,224154,-7.2335027198,-2.7218357075,5.9533426288,72
85728,173424,224168,-7.1748785661,-2.7613172804,6.021538072899999,73
85551,173427,224130,-7.1856462678,-2.8163522002,6.0239308954999995,74
84621,173332,224066,-7.336394091599999,-2.9288148624,5.9796636774,75
83479,173155,223955,-7.348358204599999,-2.7337998205,5.9856457339,76
82496,172988,223849,-7.3292156238,-2.9024938138,5.922235935,77
81780,172868,223768,-7.3064838090999995,-2.8642086522,6.0693945249,78
81410,172773,223684,-7.198806792099999,-2.7708885708000004,6.0227344842,79
81436,172811,223686,-7.2909304621999995,-2.9204399833,6.0358950085,80
81789,172802,223734,-7.3064838090999995,-2.8307091358,5.8899328299,81
82167,172853,223747,-7.381857721,-2.8163522002,5.9772708547999995,82
82407,172900,223762,-7.3244299786000004,-2.7122644171,5.8875400073,83
82707,172924,223823,-7.3734828419,-2.7098715945,6.0083775485999995,84
82928,172991,223883,-7.3280192125,-2.7254249414,6.0155560164,85
83159,172998,223925,-7.198806792099999,-2.7984060307000003,5.9437713384,86
