green,red,IR,acc_x,acc_y,acc_z,sample_index
149179,223652,296208,2.7349962318,9.2255275343,2.321037922,1
149311,223663,296190,2.7469603447999997,9.3128655592,2.3234307446,2
149414,223680,296160,2.6991038927999997,9.4002035841,2.3581266723,3
149492,223693,296225,2.6608187311999996,9.3116691479,2.3545374384,4
149608,223724,296254,2.6416761504,9.345168664300001,2.2636101795999997,5
149811,223750,296246,2.6967110702,9.3726861242,2.3940190112999997,6
150074,223774,296271,2.7625136916999997,9.248259349,2.3712871966,7
150350,223822,296287,2.6751756668,9.4061856406,2.4837498588,8
150617,223854,296304,2.6309084487,9.2398844699,2.4873390927,9
150910,223873,296293,2.6321048599999997,9.3188476157,2.4215364712,10
151151,223888,296313,2.7110680058,9.3164547931,2.3916261887,11
151376,223908,296363,2.7541388126,9.1597249128,2.2923240508,12
151600,223902,296354,2.6775684894,9.3379901965,2.3653051401,13
151854,223963,296384,2.4825534475,9.2949193897,2.3557338497,14
151821,223931,296342,2.6584259086,9.3738825355,2.4562323989,15
151460,223923,296343,2.5902304645,9.3056870914,2.4574288102,16
151163,223906,296348,2.7996024420000003,9.2793660428,2.4335005842,17
151066,223934,296381,2.644068973,9.3116691479,2.3844477209,18
151083,223928,296375,2.667997199,9.1573320902,2.4239292938,19
151142,223951,296367,2.6225335696,9.2877409219,2.4179472373,20
151263,223922,296422,2.6751756668,9.3463650756,2.3952154226,21
151481,223964,296389,2.5567309481,9.2410808812,2.3198415107,22
151772,223981,296431,2.5866412306,9.2542414055,2.4227328825,23
152016,223970,296466,2.6500510295,9.3619184225,2.3545374384,24
152152,224006,296461,2.5387847786,9.308079914,2.5136601413,25
152395,224020,296495,2.6392833278,9.1142612834,2.3401805028,26
152582,224011,296435,2.7661029256000003,9.3966143502,2.4335005842,27
152812,224035,296408,2.6237299809,9.332008140000001,2.4981067944,28
153144,224085,296458,2.5160529638999996,9.3044906801,2.4837498588,29
153534,224114,296430,2.4394826406999996,9.2506521716,2.667997199,30
153804,224127,296447,2.5902304645,9.2662055185,2.4358934068,31
154007,224126,296456,2.7349962318,9.2829552767,2.3473589706,32
154144,224112,296409,2.7134608283999997,9.4504528587,2.2265214293,33
154342,224052,296416,2.6177479243999997,9.4061856406,2.2540388892,34
154597,224086,296475,2.500499617,9.1944208405,2.344966148,35
154890,224163,296484,2.452643165,9.327222494799999,2.4909283265999997,36
154871,224172,296493,2.6835505459,9.308079914,2.4717857458,37
154738,224171,296586,2.6668007876999997,9.242277292499999,2.476571391,38
154679,224136,296509,2.6931218363,9.153742856300001,2.4478575198,39
154723,224161,296491,2.5866412306,9.2817588654,2.440679052,40
154806,224159,296478,2.6309084487,9.3212404383,2.368894374,41
154916,224130,296431,2.6476582069,9.4002035841,2.3605194949,42
155062,224108,296488,2.6117658679000004,9.4097748745,2.3126630429,43
155267,224126,296462,2.7003003040999998,9.3367937852,2.3665015514,44
155430,224146,296504,2.5639094158999995,9.1992064857,2.4370898181,45
155659,224152,296493,2.6763720781,9.2386880586,2.4215364712,46
155842,224166,296498,2.6416761504,9.2805624541,2.404786713,47
156015,224145,296505,2.644068973,9.3463650756,2.356930261,48
156213,224180,296523,2.6739792555000004,9.487541608999999,2.4059831243,49
156363,224173,296429,2.6297120374,9.2853480993,2.428714939,50
156572,224185,296425,2.6189443356999997,9.4289174553,2.3234307446,51
156736,224187,296464,2.5459632464,9.3344009626,2.3497517932000003,52
156902,224165,296456,2.5411776012,9.272187575,2.3832513096,53
157048,224115,296401,2.6536402634000003,9.1633141467,2.2444675988,54
157204,224083,296355,2.7445675222,9.3355973739,2.3066809864,55
157300,224125,296288,2.7613172804,9.3379901965,2.3641087288000002,56
157451,224032,296238,2.8283163132,9.2709911637,2.2348963083999998,57
