green,red,IR,acc_x,acc_y,acc_z,sample_index
101253,198132,256994,-0.7214360139,4.1706897918,-8.9347995884,1
101315,198151,257007,-0.6508477471999999,4.1204405172000005,-8.85344362,2
101364,198168,256967,-0.6412764568,4.0905302347,-9.0293160811,3
101426,198196,256986,-0.5706881900999999,4.0378881375,-9.006584266399999,4
101495,198191,257006,-0.59820565,4.0055850324,-8.9359959997,5
101530,198208,256984,-0.6640082715,4.0247276132000005,-8.9539421692,6
101584,198214,256974,-0.5790630692000001,4.0247276132000005,-8.9922273308,7
101628,198239,256989,-0.5694917788,4.043870194,-8.8630149104,8
101681,198203,256967,-0.4941178669,4.0247276132000005,-8.9455672901,9
101599,198207,256934,-0.5934200048,4.0773697104,-8.9204426528,10
101239,198092,256883,-0.6077769404,4.1479579771,-8.944370878800001,11
100933,198016,256863,-0.6604190376,4.1001015251,-8.8833539025,12
100873,198048,256872,-0.622133876,4.0953158799,-8.9503529353,13
100976,198086,256914,-0.5419743189,4.0342989036,-9.0352981376,14
101099,198074,256908,-0.6077769404,3.9780675724999996,-8.9156570076,15
101195,198095,256902,-0.6269195211999999,4.0103706776,-8.9778703952,16
101292,198123,256925,-0.5324030285,4.1048871703,-8.939585233599999,17
101395,198213,256909,-0.6556333924,3.9385859996,-8.9347995884,18
101450,198187,256926,-0.6352944003,4.019941968,-8.9156570076,19
101467,198185,256965,-0.4366901245,4.0007993872,-8.925228298,20
101442,198182,256904,-0.4749752861,4.0666020087,-8.9204426528,21
101449,198193,256944,-0.3984049629,3.9996029759000002,-8.9874416856,22
101473,198203,256903,-0.4402793584,3.9158541848999997,-8.9060857172,23
101510,198207,256902,-0.6711867393,4.0809589443,-8.9587278144,24
101583,198171,256901,-0.5371886737,4.0713876539,-8.9407816449,25
101618,198165,256931,-0.5778666579,3.996013742,-9.0352981376,26
101671,198096,256889,-0.6747759731999999,3.9110685397,-8.9682991048,27
101718,198209,256930,-0.5407779076,4.0474594279,-8.9539421692,28
101751,198191,256926,-0.5371886737,4.1001015251,-8.872586200799999,29
101778,198221,256900,-0.5276173833,4.1240297511,-8.931210354500001,30
101846,198227,256847,-0.5515456093,4.06779842,-8.9407816449,31
101849,198229,256883,-0.6352944003,4.0522450731,-8.9790668065,32
101866,198256,256868,-0.5228317381,4.0630127748,-8.949156524,33
101896,198247,256841,-0.47377887479999997,3.8835510798,-8.9455672901,34
101911,198271,256859,-0.5168496816,4.0295132584,-8.9635134596,35
101931,198260,256892,-0.5515456093,3.996013742,-8.926424709299999,36
101979,198269,256847,-0.5276173833,4.0570307183,-8.9347995884,37
101884,198237,256797,-0.5312066172,3.9062828945,-8.925228298,38
101566,198134,256768,-0.5036891573,4.0773697104,-8.7924266437,39
101215,198037,256712,-0.5036891573,4.1814574935,-8.97308475,40
101046,198027,256726,-0.3792623821,3.9996029759000002,-9.006584266399999,41
101086,198020,256734,-0.42233318890000004,3.9672998708,-8.9060857172,42
101136,198072,256755,-0.4881358104,4.0486558392,-8.859425676499999,43
101193,198072,256765,-0.4845465765,4.0666020087,-9.020941202,44
101268,198081,256760,-0.5778666579,3.996013742,-9.0305124924,45
101307,198108,256796,-0.5407779076,4.0486558392,-8.9922273308,46
101335,198117,256766,-0.49651068949999994,3.9780675724999996,-9.064012008799999,47
101355,198080,256743,-0.5180460929,4.163511324,-8.949156524,48
101310,198123,256749,-0.5216353268,4.0055850324,-8.925228298,49
101156,198111,256711,-0.35174492220000003,4.0247276132000005,-8.8259261601,50
101233,198065,256719,-0.40677984199999995,4.0534414844,-8.944370878800001,51
101237,198062,256719,-0.5587240770999999,4.0953158799,-8.8678005556,52
101261,198050,256737,-0.5551348432,4.0821553556,-9.0532443071,53
101288,198093,256742,-0.5359922624,4.0486558392,-9.006584266399999,54
101342,198108,256737,-0.5072783912000001,4.0486558392,-8.9635134596,55
101368,198140,256721,-0.3649054465,4.0570307183,-8.9922273308,56
101414,198122,256762,-0.47976093129999997,4.0618163635,-8.9204426528,57
101437,198151,256687,-0.6161518195,3.9768711611999996,-9.0436730167,58
101471,198148,256722,-0.3780659708,4.0737804765,-8.944370878800001,59
101513,198193,256686,-0.5874379483000001,4.1970108404,-9.0113699116,60
101562,198178,256720,-0.41276189849999995,4.0570307183,-8.8929251929,61
101585,198199,256735,-0.5647061336,4.1443687432,-8.931210354500001,62
101633,198221,256697,-0.49770710079999997,4.0247276132000005,-8.949156524,63
101652,198240,256714,-0.48335016519999996,4.139583098,-8.9204426528,64
101692,198242,256724,-0.5407779076,4.0809589443,-8.9072821285,65
101632,198137,256687,-0.526420972,4.1096728155,-9.0017986212,66
101297,198100,256625,-0.46540399569999996,4.06779842,-8.931210354500001,67
100921,198012,256638,-0.3984049629,4.0474594279,-8.939585233599999,68
100741,198019,256597,-0.5455635528,4.1383866867,-8.97308475,69
100728,198036,256631,-0.5455635528,4.0582271296000005,-8.9599242257,70
100786,198070,256612,-0.5659025448999999,3.9397824109,-9.0915294687,71
100854,198068,256686,-0.4019941968,4.0486558392,-8.9874416856,72
100985,198112,256659,-0.48335016519999996,3.996013742,-8.9120677737,73
101025,198130,256713,-0.5216353268,4.0342989036,-8.9778703952,74
101040,198139,256741,-0.4079762533,4.0630127748,-9.0352981376,75
101053,198117,256719,-0.6269195211999999,4.0007993872,-8.864211321700001,76
101022,198147,256681,-0.5072783912000001,3.9206398301,-8.997012975999999,77
100974,198173,256703,-0.5694917788,4.0582271296000005,-8.9874416856,78
100954,198130,256672,-0.4881358104,3.9852460403000003,-8.997012975999999,79
100964,198162,256679,-0.6604190376,4.019941968,-9.0592263636,80
101021,198154,256685,-0.6317051664,3.9816568063999997,-8.8689969669,81
101038,198173,256695,-0.5599204884,3.9625142255999997,-8.944370878800001,82
101087,198079,256680,-0.5647061336,3.9290147091999996,-8.9587278144,83
101143,198189,256663,-0.6687939167,3.9816568063999997,-8.926424709299999,84
101185,198139,256728,-0.5084748025,3.9158541848999997,-8.997012975999999,85
101226,198215,256726,-0.4462614149,3.9637106368999997,-8.9694955161,86
101263,198258,256735,-0.5551348432,4.0151563228,-8.8402830957,87
101292,198268,256690,-0.5934200048,4.1096728155,-8.944370878800001,88
101301,198256,256725,-0.6077769404,3.8344982165,-8.9347995884,89
101364,198274,256710,-0.574277424,4.0295132584,-8.97308475,90
101376,198268,256748,-0.6029912952,4.1611185014,-8.9874416856,91
101440,198282,256686,-0.5599204884,4.019941968,-9.006584266399999,92
101454,198265,256654,-0.4474578262,4.1324046302,-9.0017986212,93
101337,198227,256680,-0.6125625856,4.0295132584,-8.864211321700001,94
100946,198141,256583,-0.5312066172,4.1288153963,-8.925228298,95
100536,198037,256537,-0.5826523031,3.9768711611999996,-8.8869431364,96
100359,198065,256562,-0.6747759731999999,3.9924245080999996,-8.9407816449,97
100391,198057,256596,-0.5324030285,3.9589249917,-8.9024964833,98
100450,198072,256621,-0.4522434714,3.9972101532999997,-9.0305124924,99
100529,198093,256614,-0.6029912952,3.9912280968,-8.9072821285,100
100616,198122,256640,-0.5503491979999999,3.9816568063999997,-8.9120677737,101
100649,198134,256660,-0.5802594805,4.0331024923,-8.8917287816,102
100724,198147,256651,-0.7226324252,3.9720855159999995,-8.997012975999999,103
100716,198137,256653,-0.5599204884,4.0342989036,-8.997012975999999,104
100701,198160,256632,-0.5503491979999999,3.9732819273,-8.9922273308,105
100688,198135,256638,-0.59820565,4.0666020087,-8.9575314031,106
100646,198146,256637,-0.6544369810999999,4.0761732991,-8.8163548697,107
100657,198145,256655,-0.5611168997,4.0331024923,-8.9587278144,108
100676,198154,256628,-0.6125625856,4.0378881375,-8.9347995884,109
