green,red,IR,acc_x,acc_y,acc_z,sample_index
65731,161699,191348,1.016949605,5.3587262127,8.4478601893,1
65745,161654,191315,1.0432706536,5.5262237947,8.3342011158,2
65777,161701,191327,1.0791629926,5.635097223,8.3760755113,3
65705,161696,191348,1.2669995667,5.3814580274,8.3485580514,4
65854,161711,191334,1.1138589203,5.3300123415,8.4478601893,5
65834,161721,191376,1.0935199281999999,5.4783673427,8.4215391407,6
65929,161728,191373,1.0947163395,5.486742221799999,8.3126657124,7
65985,161731,191353,1.1174481541999999,5.459224761900001,8.3485580514,8
66030,161766,191364,1.1222337994,5.528616617299999,8.4035929712,9
66045,161769,191379,1.1006983959999999,5.479563754,8.3581293418,10
66113,161773,191372,1.2000005339,5.4352965359,8.3677006322,11
66061,161750,191385,1.0516455327,5.4065826647,8.4251283746,12
65828,161680,191292,1.0552347666,5.471188874899999,8.303094422,13
65593,161640,191337,1.0839486378,5.471188874899999,8.398807326,14
65490,161584,191258,1.1150553316,5.5046883913,8.3581293418,15
65506,161616,191279,1.1114660977,5.419743189,8.3581293418,16
65557,161634,191297,1.1401799688999998,5.499902746099999,8.4215391407,17
65636,161671,191324,1.2011969452,5.4484570602,8.3617185757,18
65767,161685,191354,1.0253244841,5.38385085,8.3449688175,19
65815,161705,191345,1.1222337994,5.4628139958,8.362914987,20
65793,161691,191341,1.0671988796,5.5142596817000005,8.3545401079,21
65772,161676,191315,1.0444670649,5.4652068183999996,8.3425759949,22
65727,161669,191328,1.0971091621,5.3982077855999995,8.303094422,23
65725,161668,191338,1.148554848,5.4951171009,8.3342011158,24
65765,161669,191319,1.2705888006,5.528616617299999,8.4119678503,25
65812,161671,191323,1.1042876299,5.419743189,8.291130309,26
65863,161698,191326,1.1700902514,5.443671415,8.2767733734,27
65914,161684,191357,1.1150553316,5.4233324229,8.3557365192,28
65940,161727,191374,1.0995019847,5.471188874899999,8.3413795836,29
65998,161731,191357,1.2215359373,5.4029934308,8.3665042209,30
66042,161730,191360,1.1174481541999999,5.3587262127,8.2480595022,31
66084,161754,191352,1.0061819033000001,5.5609197224,8.3724862774,32
66119,161775,191372,1.1796615418,5.4783673427,8.4418781328,33
65971,161764,191350,1.1102696864,5.4376893585,8.4023965599,34
65683,161639,191306,1.1054840412,5.5022955687,8.4023965599,35
65529,161613,191289,1.1102696864,5.3455656884,8.405985793800001,36
65492,161563,191303,1.2023933565,5.4412785924,8.3557365192,37
65510,161582,191280,1.064806057,5.4699924636,8.362914987,38
