green,red,IR,acc_x,acc_y,acc_z,sample_index
91294,197116,218842,-1.1964113,-7.5230342544,6.4558353748,1
91405,197113,218851,-1.0516455327,-7.453642399,6.492924125099999,2
91539,197142,218860,-1.0396814197,-7.5828548194,6.3912291645999995,3
91654,197116,218861,-1.1988041226,-7.5062844962,6.4821564234,4
91775,197147,218845,-1.1186445655,-7.5122665527,6.531209286699999,5
91688,197037,218836,-1.1318050897999998,-7.4691957459,6.4462640844,6
91197,196905,218797,-1.088734283,-7.381857721,6.5694944482999995,7
90517,196837,218753,-1.0456634762,-7.4943203832,6.472585133,8
90260,196791,218752,-1.0612168231,-7.3447689707,6.5168523511,9
90130,196813,218763,-1.3028919057000001,-7.5206414318,6.4247286809999995,10
90115,196790,218745,-1.2059825904,-7.4691957459,6.518048762399999,11
90167,196759,218714,-1.1676974288,-7.3878397775,6.3505511804,12
90333,196847,218793,-1.1066804525,-7.446463931199999,6.5001025929,13
90468,196868,218726,-1.1437692028,-7.457231632899999,6.4175502132,14
90426,196839,218707,-1.0277173067,-7.4991060284,6.5012990042,15
90364,196826,218686,-1.1988041226,-7.4763742137,6.5862442065,16
90478,196792,218736,-1.0707881135,-7.3974110679,6.5515482788,17
90454,196842,218725,-1.0277173067,-7.3758756645,6.472585133,18
90500,196891,218709,-1.1210373881,-7.5936225210999995,6.5527446901,19
90589,196858,218706,-1.1054840412,-7.4129644148,6.5108702946,20
90679,196885,218725,-1.0875378717,-7.5780691741999995,6.4737815442999995,21
90752,196866,218722,-1.1389835576,-7.3986074792,6.472585133,22
90820,196914,218742,-1.0145567824000001,-7.4584280442,6.4342999714,23
90797,196908,218767,-0.9930213789999999,-7.3806613097,6.472585133,24
90385,196806,218726,-1.1808579531,-7.5242306657,6.5012990042,25
90093,196775,218688,-1.1533404932,-7.365107962800001,6.3720865838,26
89773,196763,218737,-1.1389835576,-7.3710900192999995,6.439085616600001,27
89661,196720,218799,-1.1270194446,-7.5314091335,6.3864435194,28
89670,196739,218778,-1.1928220661,-7.4380890521,6.4905313025,29
89778,196807,218828,-1.1473584366999998,-7.4799634476,6.4271215036000005,30
89943,196859,218802,-1.1006983959999999,-7.5649086499,6.467799487800001,31
90035,196874,218820,-1.1820543644000001,-7.472784979799999,6.4079789228,32
90058,196863,218814,-1.1760723079,-7.4811598589,6.419943035799999,33
90091,196870,218843,-1.1940184774,-7.4799634476,6.4307107375,34
90076,196868,218810,-1.1282158559,-7.4644101007,6.4175502132,35
90152,196877,218827,-1.1473584366999998,-7.5541409482,6.467799487800001,36
90252,196920,218845,-1.0336993632,-7.447660342499999,6.439085616600001,37
90349,196881,218865,-1.1413763801999999,-7.5876404646,6.559923157899999,38
90432,196968,218861,-1.1174481541999999,-7.3710900192999995,6.4654066652,39
90513,196959,218869,-1.0863414604,-7.3806613097,6.5288164641,40
90407,196924,218856,-1.0779665813,-7.4452675199,6.4630138426,41
89982,196807,218822,-1.1581261384000001,-7.4344998182,6.4977097703,42
89474,196786,218845,-1.0815558152,-7.511070141399999,6.3996040437,43
89198,196741,218839,-1.0755737587,-7.501498850999999,6.4055861002,44
89068,196748,218819,-1.2275179938,-7.5756763516,6.4079789228,45
89066,196722,218873,-1.1341979124,-7.6235328036,6.4319071488,46
89166,196773,218910,-1.0253244841,-7.5349983674,6.4534425522,47
89308,196786,218842,-1.1150553316,-7.5888368759,6.559923157899999,48
89371,196797,218888,-1.1700902514,-7.4213392939,6.5048882380999995,49
89388,196829,218931,-1.2239287599,-7.3830541323,6.4055861002,50
89392,196871,218892,-1.1377871463,-7.561319416,6.419943035799999,51
89447,196842,218877,-1.1258230332999999,-7.3974110679,6.4630138426,52
89507,196869,218880,-1.2861421475,-7.4691957459,6.464210253899999,53
89606,196868,218895,-1.1820543644000001,-7.6151579245,6.3613188821,54
89725,196904,218952,-1.0791629926,-7.4644101007,6.5527446901,55
89848,196880,218920,-1.1030912186,-7.5230342544,6.4151573906,56
89941,196949,218941,-1.0827522265,-7.5206414318,6.4558353748,57
90088,196946,218925,-1.0947163395,-7.4979096170999995,6.4342999714,58
90125,197020,218955,-1.1904292435000001,-7.653443086099999,6.3673009386,59
90269,196983,218926,-1.2179467034,-7.4931239719,6.531209286699999,60
90423,197026,218907,-1.1748758966000001,-7.5661050612,6.3445691239,61
90512,197004,218938,-1.1569297271,-7.501498850999999,6.4630138426,62
90626,197070,218937,-1.1162517428999998,-7.6283184488,6.5240308189,63
90752,197033,218947,-1.1545369045,-7.53739119,6.464210253899999,64
90858,197049,218915,-1.1796615418,-7.3974110679,6.4869420686,65
91005,197090,218874,-1.1186445655,-7.501498850999999,6.46062102,66
91091,197065,218861,-1.1066804525,-7.5038916736,6.422335858399999,67
91206,197108,218900,-1.0803594039,-7.477570625,6.46062102,68
91326,197084,218828,-1.0935199281999999,-7.5194450205,6.5192451737,69
91428,197142,218879,-1.1270194446,-7.4632136894,6.439085616600001,70
91541,197149,218850,-1.0827522265,-7.4703921572,6.4917277138,71
91642,197184,218788,-1.0899306943,-7.459624455499999,6.410371745399999,72
91760,197143,218875,-1.0947163395,-7.5158557866,6.4462640844,73
91703,197091,218812,-1.184447187,-7.4141608261,6.484549246,74
91163,196968,218749,-1.1042876299,-7.472784979799999,6.410371745399999,75
90449,196837,218755,-1.0851450490999999,-7.4787670363,6.452246140900001,76
90053,196804,218672,-1.1437692028,-7.4620172781,6.439085616600001,77
89873,196789,218735,-1.1904292435000001,-7.3974110679,6.3924255759,78
89816,196823,218717,-1.172483074,-7.460820866800001,6.5539411014,79
89853,196817,218715,-1.064806057,-7.6055866341,6.436692794,80
89983,196856,218666,-1.160518961,-7.5074809075,6.4211394471,81
90054,196874,218773,-1.0995019847,-7.3854469549,6.4534425522,82
90083,196833,218741,-1.1078768638,-7.4823562701999995,6.324230131799999,83
90072,196837,218738,-1.0719845248,-7.3854469549,6.3960148098,84
90089,196829,218689,-1.0707881135,-7.4799634476,6.4917277138,85
90152,196858,218693,-1.2526426310999998,-7.4380890521,6.5515482788,86
90191,196822,218686,-1.1389835576,-7.5086773188,6.4414784392,87
90298,196850,218664,-1.1641081949,-7.570890706399999,6.4749779556,88
90377,196845,218684,-1.1341979124,-7.472784979799999,6.4438712618,89
90501,196850,218607,-1.0313065406,-7.4093751809,6.4630138426,90
90598,196864,218643,-1.1389835576,-7.472784979799999,6.451049729599999,91
90656,196865,218629,-1.2418749294,-7.363911551499999,6.4701923104,92
90612,196824,218660,-1.0516455327,-7.5230342544,6.4761743669,93
90232,196785,218670,-0.9774680320999999,-7.5361947787,6.3708901725,94
89828,196697,218604,-1.1078768638,-7.4105715922,6.467799487800001,95
89583,196652,218600,-1.0540383553,-7.460820866800001,6.4857456573,96
89512,196659,218619,-1.0540383553,-7.4679993346,6.4630138426,97
89541,196645,218663,-1.1509476706000001,-7.4799634476,6.484549246,98
89681,196713,218687,-1.0540383553,-7.453642399,6.5012990042,99
89823,196796,218633,-1.1330015010999999,-7.4835526815,6.439085616600001,100
89902,196752,218662,-1.1976077113,-7.4500531651,6.3948183985,101
89942,196750,218708,-1.1186445655,-7.530212722199999,6.4139609793000005,102
89920,196748,218703,-1.2598210989,-7.489534738000001,6.400800455,103
89973,196774,218708,-1.1425727915,-7.526623488299999,6.5120667059,104
90058,196826,218721,-1.112662509,-7.4428746973,6.436692794,105
90168,196817,218717,-1.2681959779999998,-7.5038916736,6.439085616600001,106
90282,196875,218710,-1.1653046062,-7.3950182453,6.5156559398,107
90389,196889,218737,-1.1557333158,-7.4548388103,6.496513359000001,108
90494,196869,218700,-1.2167502921,-7.4835526815,6.4438712618,109
90603,196906,218744,-1.1641081949,-7.4117680035,6.4893348911999995,110
90704,196908,218792,-1.1318050897999998,-7.4368926408,6.4271215036000005,111
90804,196942,218729,-1.2035897678,-7.585247642000001,6.5012990042,112
90633,196880,218768,-1.1341979124,-7.4919275606,6.5252272302000005,113
90188,196733,218761,-0.9858429111999999,-7.539784012599999,6.4881384799,114
89756,196766,218766,-1.1892328322,-7.4644101007,6.4618174313,115
89571,196765,218739,-1.0731809361,-7.530212722199999,6.484549246,116
89550,196741,218745,-1.2251251712,-7.488338326699999,6.4857456573,117
89669,196797,218727,-1.2394821068,-7.345965381999999,6.4558353748,118
89668,196836,218782,-1.2370892842,-7.4847490928,6.4271215036000005,119
89915,196868,218808,-1.0552347666,-7.5038916736,6.436692794,120
89942,196860,218847,-1.1162517428999998,-7.4368926408,6.4558353748,121
89955,196838,218807,-1.1234302107,-7.5661050612,6.4342999714,122
