green,red,IR,acc_x,acc_y,acc_z,sample_index
109779,201607,250947,-2.2061824372,-4.9830530645,8.1200434931,1
109704,201636,250964,-2.1822542112,-5.1110690735999995,8.017152121299999,2
109788,201620,250975,-2.321037922,-5.0392843956,8.2061851067,3
109964,201618,250981,-2.2025932033,-5.0679982668,8.1583286547,4
109999,201627,250998,-2.1403798157,-4.8670011684,8.252845147399999,5
110045,201621,251005,-2.2923240508,-4.9579284272,8.1643107112,6
110062,201640,251037,-2.0111673952999998,-5.0428736295,8.0063844196,7
110178,201628,251080,-2.2396819536,-5.0057848792,8.1200434931,8
110263,201688,251077,-2.2348963083999998,-5.0201418148,8.1260255496,9
110366,201675,251115,-2.1786649773,-5.0356951617,8.183453292,10
110479,201716,251156,-2.1451654609,-5.1469614126,8.1631142999,11
110614,201708,251125,-2.1152551784,-4.8622155232,8.0434731699,12
110725,201736,251191,-2.2540388892,-5.120640364,8.159525066,13
110881,201763,251227,-2.3485553819,-5.0548377425,8.3198441802,14
111016,201723,251137,-2.2265214293,-4.8957150396,8.3365939384,15
111095,201793,251182,-2.0685951377,-4.844269353700001,8.0350982908,16
111223,201796,251190,-2.2827527603999997,-4.9926243549,8.204988695399999,17
111331,201804,251193,-2.2013967919999997,-4.9974100001,8.0542408716,18
111443,201849,251213,-2.3102702203,-4.9627140724,8.2061851067,19
111553,201833,251253,-2.1487546948,-5.0045884679,8.1547394208,20
111690,201847,251279,-2.1954147355,-4.9495535481,8.115257847899999,21
111817,201859,251254,-2.3150558654999998,-4.9974100001,8.2157563971,22
111900,201883,251252,-2.225325018,-5.0117669357,8.13559684,23
112016,201881,251192,-2.0829520733,-5.1385865335,8.0685978072,24
112166,201903,251236,-2.4059831243,-5.0668018555,8.3114693011,25
112213,201912,251278,-2.0793628394,-4.9926243549,8.0925260332,26
112353,201947,251293,-2.3784656644,-5.0165525809,8.0207413552,27
112402,201987,251266,-2.2827527603999997,-5.0787659685,8.049455226400001,28
112293,201908,251251,-2.2767707039,-5.000999234,8.1631142999,29
111853,201861,251196,-2.1750757434,-4.6360937875,8.1547394208,30
111290,201752,251129,-2.2109680824,-4.8861437492,8.2636128491,31
110897,201746,251115,-2.3294128011,-5.140979356100001,7.9310105077,32
110569,201695,251144,-2.2456640101,-5.1732824612,8.0721870411,33
110187,201631,251120,-2.0865413072,-4.9256253221,8.0386875247,34
110176,201635,251155,-2.1583259852,-5.0524449199,8.1415788965,35
110151,201632,251095,-2.344966148,-4.9208396769,8.2109707519,36
110191,201625,251160,-2.1643080417,-5.1505506465,7.998009540499999,37
110178,201640,251167,-2.0769700168,-4.8490549989,8.087740388,38
110166,201609,251144,-2.3676979627,-4.8670011684,8.1547394208,39
110102,201588,251192,-2.1822542112,-4.9447679029,8.017152121299999,40
110231,201595,251196,-2.3162522768000002,-5.1110690735999995,8.2181492197,41
110324,201611,251198,-2.4550359876,-5.0488556860000005,8.1678999451,42
110408,201670,251256,-2.3258235672,-4.9830530645,8.0829547428,43
110426,201622,251228,-2.1726829208,-5.0069812905,8.2743805508,44
110570,201634,251249,-2.2073788485,-4.9734817741,8.1487573643,45
110414,201622,251176,-2.2923240508,-5.0907300815,7.992027484,46
110108,201553,251244,-2.3162522768000002,-4.9830530645,8.1966138163,47
109733,201509,251245,-2.0255243308999997,-4.9005006848,8.1367932513,48
109567,201495,251204,-2.3497517932000003,-4.9674997176,8.1774712355,49
109472,201425,251219,-2.3581266723,-4.9304109673,7.9633136127999995,50
109557,201483,251212,-2.2360927197000002,-5.1158547188000005,8.1678999451,51
109661,201488,251260,-2.2600209457,-5.120640364,8.1308111948,52
109763,201472,251244,-2.2875384056,-4.9208396769,7.9776705484,53
109882,201522,251269,-2.2815563491,-5.0536413312,8.0685978072,54
109802,201502,251299,-2.1978075581,-4.995017177499999,8.1439717191,55
109942,201518,251305,-2.2827527603999997,-5.1493542352,8.1403824852,56
110048,201516,251252,-2.1499511061,-4.9914279436,8.1918281711,57
110126,201558,251380,-2.2683958248,-4.953142782,8.0913296219,58
110278,201541,251341,-2.2875384056,-5.044070040799999,8.124829138299999,59
110419,201554,251409,-2.2444675988,-4.941178669,8.1200434931,60
110530,201589,251369,-2.1068802992999998,-5.0165525809,8.111668614,61
110705,201596,251433,-2.2911276395,-5.044070040799999,8.169096356399999,62
110778,201615,251403,-2.1511475174,-5.0153561695999995,8.049455226400001,63
110891,201623,251394,-2.2779671152,-5.0500520973,8.057830105499999,64
111075,201667,251447,-2.2444675988,-5.239085082699999,8.1499537756,65
111138,201671,251479,-2.2636101795999997,-5.219942501899999,8.1068829688,66
111235,201698,251501,-2.3054845751,-5.058426976400001,8.1403824852,67
111352,201700,251477,-2.3258235672,-5.0679982668,8.2348989779,68
111483,201742,251491,-2.3294128011,-5.0668018555,8.0207413552,69
111602,201751,251525,-2.1403798157,-4.9579284272,8.063812162,70
111728,201789,251522,-2.2743778813,-4.9878387097,8.1439717191,71
111889,201784,251511,-2.1726829208,-5.0632126216,8.1332040174,72
112010,201835,251527,-2.1978075581,-5.1385865335,8.267202082999999,73
112108,201829,251484,-2.1308085253,-4.9962135888,8.0350982908,74
112240,201850,251546,-2.476571391,-5.026123871299999,8.249255913499999,75
112321,201867,251558,-2.3676979627,-5.0919264928,8.0542408716,76
112176,201855,251469,-2.129612114,-5.0057848792,7.9872418388,77
111771,201778,251427,-2.1068802992999998,-4.9328037898999995,8.236095389199999,78
111227,201721,251449,-2.2683958248,-5.085944436299999,8.1774712355,79
110869,201725,251412,-2.2504496553,-5.0201418148,7.9489566772,80
110566,201587,251409,-2.3880369548,-5.0488556860000005,8.049455226400001,81
110369,201650,251385,-2.3114666316,-4.929214556,8.129614783500001,82
110284,201661,251375,-2.1966111468,-4.7724846757,8.2169528084,83
110311,201682,251388,-2.1966111468,-4.9962135888,8.0207413552,84
110349,201678,251441,-2.3018953412000003,-5.1852465742,8.1774712355,85
110363,201661,251395,-2.3976082452,-5.0201418148,8.049455226400001,86
110439,201685,251410,-2.1834506225,-4.9806602419,8.1272219609,87
110452,201697,251416,-2.2875384056,-5.0536413312,8.13559684,88
110522,201695,251452,-1.9657037659,-4.953142782,8.087740388,89
110620,201687,251408,-2.2983061073,-5.0344987504,8.2301133327,90
110729,201736,251398,-2.2492532439999997,-5.1361937109,8.2205420423,91
110829,201732,251458,-2.1966111468,-5.2187460906,8.1583286547,92
110947,201778,251453,-2.2348963083999998,-5.0476592747,8.183453292,93
111067,201806,251462,-2.1870398563999998,-4.8490549989,7.9609207902,94
111176,201812,251504,-2.3353948576,-4.9543391933,8.1212399044,95
111309,201852,251501,-2.2456640101,-5.0069812905,8.111668614,96
111416,201833,251510,-2.2360927197000002,-5.0069812905,8.1966138163,97
111506,201888,251494,-2.2109680824,-5.0632126216,8.0889367993,98
111649,201890,251545,-2.3066809864,-4.9866422984,8.316254946299999,99
111732,201884,251528,-2.1308085253,-4.9866422984,7.9489566772,100
111857,201922,251551,-2.2157537276,-4.9340002012,7.9932238953,101
111977,201933,251500,-2.3006989299,-5.0213382261,7.9740813145,102
112029,201934,251566,-2.1882362677000002,-5.0344987504,8.0542408716,103
111678,201921,251471,-2.1870398563999998,-4.9627140724,8.1308111948,104
111269,201848,251428,-2.3341984463,-5.0476592747,8.13559684,105
110890,201844,251397,-2.1308085253,-5.1194439527,8.116454259200001,106
110651,201810,251417,-2.3581266723,-5.14456859,8.063812162,107
110445,201817,251399,-2.1678972756,-5.057230565099999,8.1439717191,108
110347,201783,251460,-2.2863419943,-5.0333023391000005,8.2217384536,109
110383,201780,251434,-2.3533410271,-4.8825545153,8.2337025666,110
110441,201829,251438,-2.27318147,-4.9244289108,8.1631142999,111
110510,201834,251484,-2.3066809864,-5.0285166938999994,8.1104722027,112
110506,201836,251453,-1.9597217094,-4.8957150396,8.111668614,113
110631,201820,251391,-2.2301106632,-5.0823552024,8.1930245824,114
110646,201884,251465,-2.1966111468,-5.1673004047,8.1966138163,115
110767,201840,251480,-2.1870398563999998,-4.9878387097,8.063812162,116
110840,201832,251454,-2.0111673952999998,-5.0153561695999995,8.0650085733,117
110955,201832,251387,-2.2923240508,-4.9639104837,8.1726855903,118
111059,201830,251384,-2.1188444122999996,-5.0536413312,8.1583286547,119
111233,201874,251375,-2.177468566,-5.0344987504,8.0315090569,120
111302,201885,251406,-2.2061824372,-4.9830530645,8.0685978072,121
111423,201913,251443,-2.1212372348999997,-5.152943469099999,8.0973116784,122
111563,201933,251405,-2.1212372348999997,-5.152943469099999,8.0973116784,123
111683,201985,251417,-2.1212372348999997,-5.152943469099999,8.0973116784,124
111774,202025,251435,-2.1212372348999997,-5.152943469099999,8.0973116784,125
111891,202001,251448,-2.1212372348999997,-5.152943469099999,8.0973116784,126
111994,202036,251445,-2.1212372348999997,-5.152943469099999,8.0973116784,127
112075,202043,251453,-2.1212372348999997,-5.152943469099999,8.0973116784,128
111860,201957,251345,-2.1212372348999997,-5.152943469099999,8.0973116784,129
111437,201850,251254,-2.1212372348999997,-5.152943469099999,8.0973116784,130
111056,201834,251232,-2.1212372348999997,-5.152943469099999,8.0973116784,131
110782,201845,251276,-2.1212372348999997,-5.152943469099999,8.0973116784,132
110563,201826,251208,-2.1212372348999997,-5.152943469099999,8.0973116784,133
110451,201825,251259,-2.1212372348999997,-5.152943469099999,8.0973116784,134
110406,201899,251255,-2.1212372348999997,-5.152943469099999,8.0973116784,135
110510,201861,251304,-2.1212372348999997,-5.152943469099999,8.0973116784,136
110555,201876,251286,-2.1212372348999997,-5.152943469099999,8.0973116784,137
110625,201875,251294,-2.1212372348999997,-5.152943469099999,8.0973116784,138
110658,201893,251310,-2.1212372348999997,-5.152943469099999,8.0973116784,139
110729,201908,251288,-2.1212372348999997,-5.152943469099999,8.0973116784,140
110816,201899,251335,-2.1212372348999997,-5.152943469099999,8.0973116784,141
110931,201924,251337,-2.1212372348999997,-5.152943469099999,8.0973116784,142
111073,201944,251261,-2.1212372348999997,-5.152943469099999,8.0973116784,143
111196,201965,251279,-2.1212372348999997,-5.152943469099999,8.0973116784,144
111321,201974,251287,-2.1212372348999997,-5.152943469099999,8.0973116784,145
111457,201971,251309,-2.1212372348999997,-5.152943469099999,8.0973116784,146
111598,202053,251286,-2.1212372348999997,-5.152943469099999,8.0973116784,147
111695,202046,251303,-2.1212372348999997,-5.152943469099999,8.0973116784,148
111794,202048,251284,-2.27318147,-5.0333023391000005,8.2157563971,149
111936,202076,251381,-2.27318147,-5.0333023391000005,8.2157563971,150
112047,202087,251309,-2.27318147,-5.0333023391000005,8.2157563971,151
112168,202117,251360,-2.27318147,-5.0333023391000005,8.2157563971,152
112286,202106,251347,-2.27318147,-5.0333023391000005,8.2157563971,153
112135,202113,251342,-2.27318147,-5.0333023391000005,8.2157563971,154
111716,202010,251279,-2.27318147,-5.0333023391000005,8.2157563971,155
111320,202008,251260,-2.27318147,-5.0333023391000005,8.2157563971,156
111018,201992,251298,-2.27318147,-5.0333023391000005,8.2157563971,157
110784,201960,251220,-2.27318147,-5.0333023391000005,8.2157563971,158
110623,201968,251251,-2.27318147,-5.0333023391000005,8.2157563971,159
110565,201958,251241,-2.27318147,-5.0333023391000005,8.2157563971,160
110637,201976,251265,-2.27318147,-5.0333023391000005,8.2157563971,161
110719,201961,251249,-2.27318147,-5.0333023391000005,8.2157563971,162
110774,202013,251243,-2.27318147,-5.0333023391000005,8.2157563971,163
110840,201999,251244,-2.27318147,-5.0333023391000005,8.2157563971,164
110883,202000,251256,-2.27318147,-5.0333023391000005,8.2157563971,165
110990,202010,251285,-2.27318147,-5.0333023391000005,8.2157563971,166
111093,202021,251273,-2.27318147,-5.0333023391000005,8.2157563971,167
111220,202034,251265,-2.27318147,-5.0333023391000005,8.2157563971,168
111322,202037,251290,-2.27318147,-5.0333023391000005,8.2157563971,169
111428,202071,251297,-2.27318147,-5.0333023391000005,8.2157563971,170
111552,202097,251286,-2.27318147,-5.0333023391000005,8.2157563971,171
111638,202090,251285,-2.27318147,-5.0333023391000005,8.2157563971,172
111772,202097,251266,-2.27318147,-5.0333023391000005,8.2157563971,173
111895,202111,251281,-2.27318147,-5.0333023391000005,8.2157563971,174
112012,202138,251324,-2.27318147,-5.0333023391000005,8.2157563971,175
112127,202141,251262,-2.27318147,-5.0333023391000005,8.2157563971,176
112236,202114,251270,-2.27318147,-5.0333023391000005,8.2157563971,177
112324,202151,251284,-2.27318147,-5.0333023391000005,8.2157563971,178
112407,202128,251276,-2.27318147,-5.0333023391000005,8.2157563971,179
112249,202145,251279,-2.27318147,-5.0333023391000005,8.2157563971,180
111843,202045,251211,-2.27318147,-5.0333023391000005,8.2157563971,181
111402,202046,251224,-2.27318147,-5.0333023391000005,8.2157563971,182
111116,202034,251181,-2.27318147,-5.0333023391000005,8.2157563971,183
110875,202009,251212,-2.27318147,-5.0333023391000005,8.2157563971,184
110702,201983,251202,-2.27318147,-5.0333023391000005,8.2157563971,185
110658,202008,251223,-2.27318147,-5.0333023391000005,8.2157563971,186
