green,red,IR,acc_x,acc_y,acc_z,sample_index
118335,207084,240771,-2.0410776778,3.146561719,-9.2027957196,1
118516,207075,240739,-2.0135602179,3.1968109935999998,-9.1872423727,2
118366,207029,240726,-2.1954147355,3.0879375653000003,-9.21236701,3
117320,206873,240580,-2.0829520733,3.0089744195,-9.1740818484,4
116071,206714,240455,-2.1140587671,2.9599215562,-9.1573320902,5
115239,206661,240519,-2.0877377184999997,3.0843483314,-9.1824567275,6
115049,206671,240433,-2.1116659445,2.9922246613000003,-9.1262253964,7
115069,206630,240496,-1.9704894111,3.0412775246,-9.1262253964,8
115314,206719,240525,-2.0434705004000002,3.014956476,-9.0747797105,9
115640,206733,240574,-2.045863323,3.1669007111,-9.1956172518,10
116000,206772,240539,-2.0027925162,2.9706892578999997,-9.1381895094,11
116138,206810,240523,-2.1248264688,3.0089744195,-9.0879402348,12
116172,206757,240528,-2.0602202586000002,3.0281170003,-9.1250289851,13
116180,206751,240533,-2.0267207422,2.9970103065,-9.3188476157,14
116236,206780,240545,-1.9920248145,3.0879375653000003,-9.1262253964,15
116296,206781,240514,-2.15354034,2.9204399833,-9.1011007591,16
116524,206854,240596,-2.0961125976,3.0161528873,-9.1860459614,17
116631,206816,240565,-2.069791549,2.8917261120999997,-9.1142612834,18
116913,206907,240590,-2.0147566292,3.2279176874,-9.1561356789,19
117137,206888,240658,-2.0350956213,3.0460631697999996,-9.1334038642,20
117303,206957,240648,-2.1930219129,3.0711878071,-9.1944208405,21
117531,206919,240648,-2.1044874766999997,3.0556344602,-9.219545477799999,22
117750,206981,240620,-2.0721843716,3.0556344602,-9.1908316066,23
117956,206988,240702,-1.8628123941,2.9659036127,-9.1106720495,24
117894,206968,240638,-2.1080767106,3.1286155494999996,-9.1633141467,25
116998,206767,240553,-2.0757736055,3.1202406704,-9.236295236,26
115747,206683,240468,-2.0614166699,3.0400811133000003,-9.0436730167,27
114944,206595,240415,-2.117648001,2.9647072014,-9.1250289851,28
114677,206570,240417,-1.9393827173,3.0604201053999995,-9.233902413400001,29
114748,206573,240442,-2.129612114,3.1357940173,-9.1298146303,30
115033,206658,240469,-2.0949161863,3.0675985732,-9.096315113900001,31
115441,206665,240517,-1.9669001771999999,3.0723842184,-9.2219383004,32
115735,206644,240527,-2.0650059038,3.0699913958000002,-9.1130648721,33
115923,206720,240509,-2.0327027987,2.9276184511,-9.162117735399999,34
115890,206672,240482,-2.1248264688,3.1609186546,-9.128618219,35
115880,206765,240537,-1.9657037659,3.1633114771999997,-9.117850517299999,36
115921,206699,240480,-2.0841484846,3.0975088557,-9.0652084201,37
116085,206714,240510,-2.0075781614,3.0221349438,-9.1549392676,38
116211,206746,240582,-2.081755662,3.0305098229,-9.1118684608,39
116399,206725,240566,-2.1068802992999998,3.1621150658999997,-9.1836531388,40
116588,206791,240606,-2.0685951377,2.8594230069999997,-9.2171526552,41
116766,206846,240597,-2.1116659445,3.1070801461,-9.1274218077,42
116883,206845,240600,-2.1104695332,3.1896325258,-9.3068835027,43
117197,206874,240635,-2.1008982428,3.0221349438,-9.1106720495,44
117379,206851,240641,-2.045863323,2.9587251449000003,-9.1118684608,45
117039,206796,240549,-2.0207386857,3.0951160330999996,-9.2697947524,46
115901,206590,240471,-2.1128623558,2.9874390161,-9.1058864043,47
114755,206505,240360,-2.03389921,3.0951160330999996,-9.1932244292,48
114162,206425,240392,-2.0171494518,3.0580272828,-9.229116768199999,49
114001,206435,240353,-2.1403798157,3.1597222433,-9.108279226899999,50
114079,206493,240389,-2.069791549,2.9994031291,-9.1190469286,51
114443,206556,240453,-2.1487546948,3.0711878071,-9.176474671,52
114800,206517,240443,-1.9860427579999997,3.0293134116,-9.21236701,53
115079,206559,240447,-2.0913269524,3.0891339766000003,-9.1226361625,54
115150,206614,240454,-2.057827436,3.1142586138999997,-9.164510558,55
115145,206568,240411,-1.9178473139,2.9694928465999997,-9.1824567275,56
115179,206537,240484,-2.0961125976,3.098705267,-9.1118684608,57
115241,206573,240455,-2.0769700168,2.9682964353,-9.1142612834,58
115451,206654,240423,-2.0303099761,3.1393832512,-9.1561356789,59
115665,206633,240433,-2.0434705004000002,3.0819555088,-9.229116768199999,60
115858,206645,240491,-2.0793628394,3.1238299043,-9.1238325738,61
116032,206688,240504,-2.045863323,3.0795626862,-9.1716890258,62
116327,206700,240548,-1.9154544913,3.0975088557,-9.1908316066,63
116527,206694,240567,-2.069791549,3.0317062341999996,-9.2027957196,64
116756,206748,240522,-2.045863323,3.1477581302999997,-9.1968136631,65
116964,206813,240607,-2.093719775,3.0915267992,-9.176474671,66
117183,206803,240579,-2.1798613886,3.038884702,-9.1154576947,67
117459,206837,240628,-2.1834506225,2.9694928465999997,-9.1334038642,68
117368,206769,240548,-2.0183458631,3.1046873235,-9.0604227749,69
116531,206640,240458,-2.1080767106,3.0269205889999995,-9.1728854371,70
115215,206509,240359,-2.0063817501,3.0305098229,-9.1154576947,71
114302,206354,240311,-2.0434705004000002,3.0077780082,-9.2506521716,72
113945,206392,240361,-1.9345970721,3.098705267,-9.164510558,73
113899,206398,240305,-2.0051853388,3.0580272828,-9.1369930981,74
114198,206449,240368,-1.9549360641999998,3.0221349438,-9.1573320902,75
114537,206486,240390,-1.9728822337,3.0424739359,-9.2099741874,76
114852,206500,240374,-2.1152551784,3.0484559924,-9.1824567275,77
115022,206497,240364,-2.057827436,2.9778677257000004,-9.1860459614,78
115052,206488,240369,-2.1846470338,2.967100024,-9.1465643885,79
115077,206518,240386,-2.0315063874,3.1286155494999996,-9.265009107200001,80
115166,206543,240467,-2.1128623558,3.0460631697999996,-9.1680997919,81
115313,206542,240425,-2.009970984,3.1250263156,-9.1142612834,82
115520,206467,240440,-2.1272192914,3.1669007111,-9.1812603162,83
115745,206615,240468,-2.1954147355,3.0999016782999997,-9.1298146303,84
115985,206623,240463,-1.9920248145,3.0711878071,-9.0891366461,85
116209,206625,240526,-2.2217357841,3.1322047834,-9.1441715659,86
116441,206684,240487,-2.069791549,3.0340990568,-9.0747797105,87
116704,206644,240549,-2.0889341298,3.0137600647,-9.162117735399999,88
116941,206628,240550,-2.0638094925,2.9946174839,-9.188438784,89
117172,206757,240567,-2.1104695332,3.1561330094,-9.152546445,90
117345,206751,240516,-2.0602202586000002,3.1178478478000002,-9.1417787433,91
117642,206807,240522,-2.0626130812,3.1250263156,-9.1190469286,92
117864,206793,240578,-2.0362920326,3.0269205889999995,-9.1956172518,93
117649,206747,240562,-2.1343977592,3.1381868399,-9.175278259699999,94
116608,206607,240432,-2.0626130812,3.098705267,-9.2231347117,95
115423,206380,240394,-1.9968104597,3.1094729686999996,-9.0460658393,96
114744,206450,240333,-1.9657037659,3.0496524037,-9.1429751546,97
114451,206412,240269,-1.9585252981,3.0293134116,-9.2087777761,98
114646,206420,240332,-2.1080767106,3.1381868399,-9.1118684608,99
114937,206467,240370,-2.0925233637,3.0245277664,-9.1549392676,100
115315,206498,240358,-1.9633109433,3.1010980895999998,-9.1202433399,101
115615,206598,240366,-2.057827436,3.1058837348,-9.1740818484,102
115742,206459,240403,-1.9848463467,3.0927232105,-9.164510558,103
115781,206570,240392,-2.0231315083,3.1226334930000004,-9.1740818484,104
115808,206508,240407,-1.9357934834,3.1369904286000003,-9.1704926145,105
115867,206561,240393,-2.1308085253,2.9826533709,-9.1609213241,106
116112,206581,240379,-2.0721843716,3.0101708308,-9.164510558,107
116262,206591,240457,-1.9453647738,3.1381868399,-9.1692962032,108
116480,206611,240423,-2.0626130812,3.1573294206999996,-9.1501536224,109
116717,206662,240472,-2.0530417908,3.1657042998000002,-9.152546445,110
116934,206612,240524,-2.0985054202,3.0879375653000003,-9.1609213241,111
117170,206744,240446,-2.0865413072,3.0592236941,-9.236295236,112
117405,206715,240534,-2.0506489682,3.0436703472,-9.1393859207,113
117617,206723,240549,-2.0913269524,2.9659036127,-9.2674019298,114
117864,206835,240548,-2.0949161863,2.9168507494,-9.0771725331,115
118105,206798,240580,-2.0374884439,3.0364918793999998,-9.1513500337,116
118107,206735,240505,-2.0889341298,2.9527430884,-9.232706002099999,117
117347,206638,240424,-2.0626130812,3.1764720014999996,-9.1190469286,118
