green,red,IR,acc_x,acc_y,acc_z,sample_index
93041,184956,239014,-6.725027917299999,-6.1686966628,3.9936209194,1
93103,184909,238993,-6.5970119082,-6.1435720255,4.0474594279,2
93166,184958,238953,-6.5730836822,-6.025127306799999,3.9158541848999997,3
93212,184996,239049,-6.7369920303,-6.228517227799999,3.9720855159999995,4
93271,184981,238999,-6.6436719489,-6.178267953200001,4.030709669699999,5
93240,184953,239018,-6.7764736032,-6.1543397272,4.0342989036,6
92903,184904,238948,-6.7848484823,-6.232106461699999,4.0247276132000005,7
92535,184840,238950,-6.6101724325,-6.2225351713,4.0151563228,8
92232,184841,238974,-6.6161544889999995,-6.1112689204,4.019941968,9
92153,184861,239024,-6.6221365455,-6.094519162199999,4.043870194,10
92117,184861,239068,-6.5671016257,-6.2045890018000005,3.9625142255999997,11
92137,184913,239087,-6.6508504167,-6.0598232345,3.9912280968,12
92258,184886,239146,-6.753741788499999,-6.034698597199999,4.0402809601,13
92363,184961,239159,-6.5958154969,-6.0430734763,3.9984065645999998,14
92497,184952,239169,-6.6652073523,-6.2141602922,4.0127635002,15
92486,184904,239153,-6.562315980499999,-6.1411792029,4.0450666053,16
92482,184932,239226,-6.6245293681,-6.2045890018000005,3.9684962821,17
92574,184940,239198,-6.5838513839,-6.089733517,3.9924245080999996,18
92596,184958,239231,-6.640082715,-6.149554082000001,4.0594235409,19
92677,184959,239237,-6.659225295800001,-6.1304115012,4.0055850324,20
92719,185004,239235,-6.632904247199999,-6.190232066199999,4.0007993872,21
92828,185011,239257,-6.6185473116,-6.1675002515,3.9792639838,22
92873,185003,239258,-6.544369811,-6.089733517,3.9912280968,23
92969,184986,239237,-6.735795619,-6.190232066199999,4.0474594279,24
92975,184990,239269,-6.640082715,-6.145964848099999,3.996013742,25
93078,184991,239247,-6.7262243286,-6.1806607758,3.9672998708,26
93100,185005,239265,-6.7106709817,-6.233302873,4.0271204358,27
93160,185026,239242,-6.6388863037,-6.0933227509000005,4.1120656381,28
93237,185017,239232,-6.6197437229,-6.339783478699999,4.007977855,29
93264,185020,239232,-6.652046828,-6.136393557699999,3.960121403,30
93377,185038,239249,-6.613761666399999,-6.2344992843,4.0055850324,31
93379,184975,239219,-6.6006011420999995,-6.0873406944,4.0749768878,32
93281,185016,239189,-6.640082715,-6.0861442831,4.0630127748,33
92871,184925,239166,-6.671189408799999,-6.0981083961,3.9421752335,34
92490,184890,239165,-6.6604217071,-6.1591253724,4.079762533,35
92301,184893,239192,-6.5862442065,-6.2057854131,4.0474594279,36
92225,184908,239200,-6.5838513839,-6.1830535984,4.0007993872,37
92220,184905,239229,-6.6089760212,-6.0885371056999995,4.0342989036,38
92245,184918,239297,-6.6376898924,-6.1926248888,3.9972101532999997,39
92352,184953,239269,-6.5970119082,-6.257231098999999,3.9433716447999996,40
92512,184996,239319,-6.5778693274,-6.2668023894,3.9816568063999997,41
92569,184982,239306,-6.6783678766,-6.228517227799999,4.030709669699999,42
92569,184989,239335,-6.607779609900001,-6.078965815299999,3.9385859996,43
92615,184974,239350,-6.628118602,-6.185446421,3.9876388629,44
92614,184976,239345,-6.6903319896,-6.125625856,3.9672998708,45
92704,185024,239351,-6.6053867873000005,-6.190232066199999,4.0462630166,46
92770,184995,239297,-6.715456626899999,-6.1112689204,4.0175491454,47
92837,185019,239365,-6.6101724325,-6.1196437994999995,4.007977855,48
92902,185025,239336,-6.6496540054,-6.2117674696,4.0486558392,49
