green,red,IR,acc_x,acc_y,acc_z,sample_index
108764,213706,250834,-0.0646062102,-6.9595245321,7.0085773954,1
108941,213757,250877,0.0681954441,-6.9583281208,7.0157558632,2
109053,213820,250908,0.0191425808,-6.8901326766999995,7.0552374361,3
109247,213863,250895,0.1304088317,-6.9918276372,6.9547388869,4
109430,213898,250914,0.0023928226,-6.9248286044,7.0157558632,5
109564,213936,250980,-0.0334995164,-6.927221427,7.0516482022,6
109749,214000,250994,-0.0071784678,-6.9535424756,7.0121666293,7
109891,214016,251020,0.051445685899999996,-6.880561386299999,7.034898444,8
109909,213991,251019,-0.022731814700000002,-6.7884377162,7.0061845728000005,9
109630,213893,250937,0.0705882667,-6.865008039399999,7.0648087265,10
109186,213798,250878,0.0275174599,-6.915257314,6.977470701600001,11
108878,213712,250831,-0.0287138712,-6.9009003784,6.9966132824,12
108725,213672,250788,0.020338992099999998,-6.9451675965,7.0037917501999996,13
108664,213668,250812,0.06340979890000001,-6.9020967897,6.9726850564,14
108572,213637,250809,0.0,-7.0564338474,6.9655065886,15
108570,213624,250744,0.0502492746,-6.8721865072,7.0253271536,16
108522,213630,250779,-0.035892339,-6.9583281208,7.071987194299999,17
108657,213692,250791,-0.0287138712,-6.8410798134,7.0540410248,18
108762,213635,250776,-0.0095712904,-6.9415783626,7.046862557000001,19
108752,213635,250770,0.0095712904,-7.0396840892,7.0337020327,20
108806,213680,250771,0.0502492746,-6.93918554,7.0480589683,21
108914,213697,250814,0.06340979890000001,-6.9200429592,7.027719976199999,22
109036,213722,250842,-0.0658026215,-7.0205415084,7.034898444,23
109139,213761,250829,-0.095712904,-6.8829542089,6.9726850564,24
109260,213770,250834,-0.107677017,-6.927221427,7.0767728395,25
109414,213808,250883,0.051445685899999996,-6.8183479987,6.9667029999,26
109528,213824,250875,0.0011964113,-6.9463640078,7.0396840892,27
109650,213847,250899,-0.0777667345,-6.8685972733,7.0337020327,28
109801,213872,250893,-0.0047856452,-6.9439711852,7.0648087265,29
109903,213924,250909,0.1088734283,-6.963113765999999,6.9918276372,30
109954,213945,250917,-0.0299102825,-6.922435781799999,7.0695943717,31
109679,213787,250856,-0.1339980656,-6.9176501366,6.915257314,32
109243,213661,250762,-0.040677984199999996,-6.9236321931,6.9918276372,33
108928,213636,250712,0.0059820565,-6.915257314,7.010970218,34
108743,213594,250716,0.0263210486,-6.903293200999999,7.058826669999999,35
108664,213574,250728,-0.021535403399999997,-6.866204450700001,7.060023081300001,36
108628,213569,250760,-0.0789631458,-6.8877398540999994,7.022934331,37
108624,213579,250717,-0.0263210486,-7.0013989275999995,7.0061845728000005,38
108703,213593,250728,-0.031106693799999998,-6.8949183219000005,7.0013989275999995,39
108764,213596,250750,0.0035892339,-6.9332034835,7.0396840892,40
108796,213569,250723,-0.09930213789999999,-6.9834527581,7.0672015491,41
108842,213618,250753,0.08614161359999999,-7.0133630406,7.0157558632,42
108932,213642,250726,-0.1136590735,-6.9810599355,6.9966132824,43
109024,213694,250812,-0.0526420972,-7.0037917501999996,6.948756830400001,44
109127,213709,250851,-0.0502492746,-6.897311144500001,6.9583281208,45
109282,213773,250845,-0.0179461695,-6.9702922337999995,7.0360948553,46
109411,213778,250858,-0.12083754129999999,-6.839883402099999,7.018148685799999,47
109597,213794,250901,0.0131605243,-6.9523460643,7.034898444,48
109684,213903,250881,-0.021535403399999997,-6.7740807806,7.0576302587,49
109840,213901,250940,-0.1100698396,-6.9009003784,7.060023081300001,50
109998,213975,250982,-0.0550349198,-6.9128644914,6.9798635242,51
110066,214003,251008,-0.09092725880000001,-6.8865434428,7.0133630406,52
109868,213894,250957,0.0346959277,-6.8626152168,7.034898444,53
109428,213756,250854,-0.010767701699999998,-6.9798635242,7.046862557000001,54
109078,213685,250835,-0.041874395499999995,-6.977470701600001,7.0552374361,55
108889,213649,250808,-0.08374879099999999,-6.8566331603,7.0061845728000005,56
108784,213659,250844,-0.011964113,-6.9200429592,7.1222364689,57
108779,213660,250814,-0.1136590735,-6.9415783626,7.0444697344,58
108766,213662,250802,0.041874395499999995,-7.0408805005,6.93918554,59
108810,213667,250789,-0.0777667345,-6.9367927174,7.1078795333,60
108898,213696,250793,-0.0059820565,-6.9451675965,7.094719009,61
108932,213724,250855,-0.071784678,-6.9954168711,7.0133630406,62
109012,213775,250825,-0.0789631458,-6.9367927174,7.060023081300001,63
109086,213777,250867,0.0741775006,-6.9619173547,6.9678994112,64
109164,213817,250897,0.045463629400000004,-6.8889362654,7.0085773954,65
109316,213844,250875,-0.09092725880000001,-6.989434814599999,7.0372912666,66
109443,213865,250965,0.011964113,-6.9140609027,7.0492553796,67
109597,213938,250966,-0.0574277424,-7.0396840892,7.0157558632,68
109744,213975,250952,0.0047856452,-6.9248286044,7.0061845728000005,69
109914,214049,251019,-0.0538385085,-6.9403819513,7.0540410248,70
110107,214052,251002,-0.0095712904,-6.823133643899999,7.0025953389,71
110227,214109,251064,0.0753739119,-6.9200429592,7.0121666293,72
110382,214147,251076,-0.08135596839999999,-7.0384876779,7.1246292915,73
110471,214182,251115,-0.0059820565,-6.927221427,7.1437718723,74
110594,214214,251141,0.1280160091,-6.9212393704999995,7.0420769118,75
110380,214096,251061,-0.0035892339,-6.975077879,7.0037917501999996,76
