green,red,IR,acc_x,acc_y,acc_z,sample_index
88246,195489,221089,-1.0660024683,9.5246303593,-3.0209385325,1
88333,195498,221042,-1.2299108163999999,9.3487578982,-2.9479574432,2
88430,195422,221077,-1.1700902514,9.3702933016,-2.9132615155,3
88528,195421,221059,-1.2287144051,9.5018985446,-2.8594230069999997,4
88620,195442,221061,-1.2107682356,9.3655076564,-2.9551359109999997,5
88690,195428,221067,-1.1676974288,9.4576313265,-2.9001009912,6
88776,195445,221057,-1.2095718243,9.3750789468,-2.9048866364,7
88861,195406,221008,-1.1964113,9.3667040677,-2.8558337731,8
88934,195388,221020,-1.1940184774,9.6012006825,-2.9084758702999998,9
89044,195439,220999,-1.0695917021999999,9.4313102779,-2.9862426048,10
89108,195421,221033,-1.0959127508,9.5150590689,-2.8522445392,11
89170,195408,221037,-1.2239287599,9.367900479,-2.8953153460000003,12
89226,195415,220961,-1.0935199281999999,9.403792818,-2.9635107901000004,13
89041,195371,220931,-1.1557333158,9.320044027,-2.979064137,14
88376,195303,220956,-1.2239287599,9.3499543095,-2.9096722816000002,15
87730,195225,220867,-1.1509476706000001,9.385846648500001,-2.9527430884,16
87488,195239,220846,-1.1892328322,9.4767739073,-2.8414768375,17
87486,195180,220800,-1.0456634762,9.5198447141,-2.8677978860999995,18
87563,195186,220829,-1.1258230332999999,9.3355973739,-2.9479574432,19
87616,195237,220813,-1.1928220661,9.4983093107,-2.9084758702999998,20
87752,195211,220833,-1.0600204118,9.5018985446,-2.9048866364,21
87793,195208,220810,-1.2454641632999999,9.4612205604,-2.8390840148999996,22
87824,195196,220842,-1.0396814197,9.4013999954,-2.9742784918,23
87799,195210,220796,-1.0779665813,9.4229353988,-2.8390840148999996,24
87790,195168,220795,-1.2191431147,9.399007172800001,-2.9443682093000003,25
87831,195179,220848,-1.1772687192,9.5342016497,-2.8797619991,26
87899,195146,220826,-1.1916256548,9.3726861242,-2.9060830476999997,27
87997,195129,220779,-1.1940184774,9.4360959231,-2.8761727652,28
88082,195123,220762,-1.1784651305,9.5700939887,-2.8582265956999997,29
88183,195097,220823,-1.1521440819,9.4600241491,-2.7804598612,30
88272,195127,220813,-1.1676974288,9.3655076564,-2.9718856692,31
88377,195162,220853,-1.1772687192,9.3774717694,-2.9862426048,32
88472,195155,220845,-1.1964113,9.320044027,-2.9623143788,33
88618,195192,220838,-1.1641081949,9.4492564474,-2.99102825,34
88686,195165,220801,-1.1102696864,9.5342016497,-2.8965117573,35
88781,195208,220811,-1.208375413,9.4301138666,-2.9359933301999996,36
88871,195220,220815,-1.1808579531,9.518648302799999,-2.8965117573,37
88899,195197,220787,-1.1712866627,9.3655076564,-2.8331019584000003,38
88514,195192,220784,-1.244267752,9.3738825355,-2.9383861528,39
87753,195117,220741,-1.1461620254,9.290133744499999,-2.8941189347,40
87217,195033,220687,-1.2358928729,9.4133641084,-2.9599215562,41
87086,195081,220686,-1.2610175101999999,9.4061856406,-2.8941189347,42
87071,195044,220672,-1.1425727915,9.3870430598,-2.8522445392,43
87115,195034,220725,-1.1796615418,9.463613383,-2.9982067177999996,44
87092,195019,220684,-1.2598210989,9.3667040677,-2.9563323222999998,45
87175,195017,220686,-1.1138589203,9.4719882621,-2.8151557889,46
