green,red,IR,acc_x,acc_y,acc_z,sample_index
73861,170759,268685,-3.493520996,5.730810127,7.2705914701,1
73675,170689,268611,-3.5473595045,5.6087761744,7.2000032034000006,2
73577,170668,268594,-3.4971102299,5.620740287399999,7.2550381232,3
73565,170646,268611,-3.4061829711000002,5.6327044004,7.278966349199999,4
73709,170703,268670,-3.5222348672,5.6482577473,7.238288365000001,5
73890,170712,268671,-3.4121650276000004,5.6219366987,7.253841711900001,6
73992,170720,268666,-3.3810583338,5.6015977066,7.190431913,7
74067,170728,268635,-3.4468609552999996,5.582455125799999,7.1952175581999995,8
74184,170771,268683,-3.4121650276000004,5.7020962558,7.252645300599999,9
74273,170777,268675,-3.4540394231000002,5.6039905292,7.250252477999999,10
74382,170802,268731,-3.4743784152000003,5.649454158599999,7.2909304621999995,11
74401,170804,268687,-3.4600214796,5.6985070219,7.183253445199999,12
74494,170828,268686,-3.3798619225,5.5585268998,7.2167529616,13
74617,170849,268712,-3.4839497056,5.706881900999999,7.3016981639,14
74773,170810,268732,-3.3906296242,5.611168996999999,7.2299134859,15
74642,170808,268647,-3.4719855926,5.633900811699999,7.2969125187,16
74180,170689,268566,-3.4707891813,5.6422756908,7.3124658656,17
73799,170668,268493,-3.5270205124,5.620740287399999,7.2335027198,18
73596,170594,268491,-3.4803604716999996,5.6398828682,7.2993053413,19
73435,170548,268438,-3.4552358344000003,5.5501520207,7.2717878814,20
73384,170559,268399,-3.5150563993999997,5.5621161337,7.2000032034000006,21
73433,170557,268472,-3.6311082955,5.7535419417,7.2897340509,22
73665,170598,268431,-3.4564322457,5.6985070219,7.2598237683999995,23
73786,170627,268510,-3.4133614389,5.5848479484,7.2358955424,24
73825,170617,268504,-3.4648071248,5.6087761744,7.211967316399999,25
73918,170642,268503,-3.4959138186,5.582455125799999,7.2000032034000006,26
74031,170687,268508,-3.4959138186,5.7463634739,7.2311098972,27
74174,170714,268548,-3.4540394231000002,5.5441699642,7.2478596554,28
74290,170768,268576,-3.3332018818,5.5645089563,7.2311098972,29
74421,170734,268570,-3.4719855926,5.5082776252,7.2095744938,30
74553,170777,268549,-3.4863425282,5.6853464976,7.240681187599999,31
74673,170799,268621,-3.5952159565,5.7870414581,7.3005017526,32
74670,170822,268559,-3.3966116807,5.7056854897,7.155735985300001,33
74286,170658,268451,-3.4504501892,5.6542398038,7.2478596554,34
73858,170630,268370,-3.4528430117999998,5.6853464976,7.2478596554,35
73612,170545,268371,-3.4612178908999995,5.6303115778,7.3005017526,36
73474,170506,268372,-3.4480573666,5.666203916800001,7.2646094136,37
73400,170502,268357,-3.5210384559,5.5657053676,7.2311098972,38
73431,170503,268369,-3.517449222,5.6255259326000004,7.2634130023,39
73599,170562,268361,-3.505485109,5.6985070219,7.2430740102,40
73819,170645,268462,-3.5665020853000002,5.693721376699999,7.211967316399999,41
73958,170666,268449,-3.4600214796,5.605186940499999,7.2311098972,42
74066,170720,268495,-3.4875389395,5.6757752072,7.320840744700001,43
74235,170718,268476,-3.4085757937,5.5776694806,7.221538606799999,44
74371,170744,268535,-3.4253255519,5.6877393201999995,7.1461646949,45
74510,170775,268521,-3.4504501892,5.471188874899999,7.320840744700001,46
74676,170814,268547,-3.4671999473999997,5.681757263700001,7.2693950588,47
74837,170893,268600,-3.5676984966,5.5812587145,7.3184479221,48
75004,170807,268659,-3.5246276898,5.6135618196,7.320840744700001,49
75133,170949,268693,-3.3655049869,5.7140603688,7.2430740102,50
75113,170872,268608,-3.3894332128999998,5.6015977066,7.3256263899,51
74688,170784,268498,-3.4971102299,5.6422756908,7.2167529616,52
74262,170680,268417,-3.5102707542,5.6638110942,7.252645300599999,53
