green,red,IR,acc_x,acc_y,acc_z,sample_index
124683,209240,307488,-4.6552363683,-5.1134618962,-6.8949183219000005,1
124653,209244,307433,-4.6025942711,-5.0141597583,-6.8267228778,2
124652,209278,307472,-4.6576291909,-5.0548377425,-6.8638116281,3
124662,209221,307483,-4.6528435457,-5.139782944799999,-6.915257314,4
124670,209231,307442,-4.5786660451,-5.0919264928,-6.9128644914,5
124694,209206,307410,-4.643272255299999,-5.0596233877,-6.8027946518,6
124706,209166,307329,-4.7198425785,-5.1134618962,-6.8877398540999994,7
124700,209163,307350,-4.8538406441,-4.961517661099999,-6.7465633207,8
124712,209153,307286,-4.7712882644,-5.1170511301,-6.8135623535,9
124755,209085,307316,-4.7641097966,-5.1852465742,-6.770491546700001,10
124764,209134,307269,-4.737788748,-5.0811587911,-6.9140609027,11
124843,209148,307293,-4.6516471344,-5.0668018555,-6.7130638043,12
124842,209090,307290,-4.6947179412,-5.0691946781,-6.8721865072,13
124837,209178,307289,-4.7042892316,-5.0943193154,-6.935596306100001,14
124901,209075,307181,-4.6755753604,-5.1876393968,-6.878168563699999,15
124923,209082,307169,-4.8131626599,-5.1433721787,-6.915257314,16
124765,209152,307334,-4.6037906824000006,-5.0644090329,-6.8063838857,17
124580,209096,307458,-4.6325045536000005,-4.9998028226999995,-6.7669023128,18
124548,209266,307540,-4.7784667322,-5.041677218199999,-6.8458654586,19
124530,209303,307577,-4.6851466508,-5.216353268,-6.9020967897,20
124504,209285,307569,-4.7162533446,-5.087140847600001,-6.7441704981,21
124500,209299,307541,-4.6827538282,-5.1014977832,-6.7657059015,22
124538,209264,307520,-4.7916272565,-5.0943193154,-6.853043926400001,23
124546,209248,307566,-4.6564327796,-4.9591248385,-6.8602223942,24
124572,209231,307477,-4.6863430621,-5.102694194500001,-6.8063838857,25
124552,209241,307522,-4.8131626599,-5.1098726623,-6.9200429592,26
124537,209275,307601,-4.7952164904,-5.0344987504,-6.8458654586,27
124521,209255,307619,-4.7593241513999995,-5.1086762509999994,-6.9212393704999995,28
124533,209312,307670,-4.637290198800001,-5.102694194500001,-6.8626152168,29
124563,209266,307623,-4.5379880609,-4.9926243549,-6.9248286044,30
124595,209265,307581,-4.6265224971,-5.0488556860000005,-6.8171515874,31
124614,209266,307619,-4.6636112473999995,-5.1613183482,-6.9164537253,32
124624,209241,307585,-4.6887358847,-5.0763731459,-6.855436749,33
124668,209302,307567,-4.6169512067000005,-5.0811587911,-6.843472636,34
124689,209223,307540,-4.6851466508,-4.9304109673,-6.9942204598,35
124713,209215,307534,-4.7653062079,-5.0273202826,-6.795616184,36
124736,209213,307600,-4.7090748768,-5.1098726623,-6.838686990799999,37
124756,209195,307522,-4.689932296,-5.096712138,-6.853043926400001,38
124793,209204,307473,-4.6348973762,-5.057230565099999,-6.9415783626,39
124761,209202,307539,-4.6851466508,-5.0668018555,-6.8590259828999995,40
124592,209255,307678,-4.6516471344,-5.0763731459,-6.81954441,41
124447,209317,307769,-4.654039957,-4.9507499594,-6.8626152168,42
124382,209410,307799,-4.6803610056,-4.961517661099999,-6.9009003784,43
124350,209398,307851,-4.6803610056,-5.0943193154,-6.9415783626,44
124346,209410,307926,-4.7449672158,-5.0823552024,-6.8685972733,45
124333,209436,307872,-4.6695933039,-5.1577291143,-6.843472636,46
124383,209406,307888,-4.5906301581,-5.139782944799999,-6.8602223942,47
124364,209352,307849,-4.6612184248,-5.1003013719000005,-6.8602223942,48
124358,209368,307871,-4.7066820542,-5.0787659685,-6.8602223942,49
124332,209364,307822,-4.7186461672,-5.1014977832,-6.867400862,50
124303,209396,307884,-4.6528435457,-5.1601219369,-6.849454692499999,51
124322,209375,307907,-4.6683968926,-5.1493542352,-6.8745793297999995,52
124334,209353,307860,-4.5738803999,-5.1014977832,-6.8769721524,53
124343,209349,307887,-4.6707897152,-5.0751767346,-6.849454692499999,54
124384,209362,307796,-4.6301117309999995,-5.0548377425,-6.8374905795,55
124405,209310,307777,-4.7676990305,-5.0464628634,-6.8267228778,56
124414,209308,307737,-4.7772703209000005,-5.152943469099999,-6.8183479987,57
124442,209299,307769,-4.4913280202,-5.060819799,-6.8961147332,58
124468,209285,307778,-4.6253260858,-5.0225346374,-6.8769721524,59
124495,209259,307721,-4.6552363683,-5.0464628634,-6.8626152168,60
124539,209252,307724,-4.6037906824000006,-5.099104960599999,-6.881757797600001,61
124540,209256,307691,-4.6205404406,-5.0177489922000005,-6.866204450700001,62
124584,209206,307659,-4.606183505,-5.0775695572,-6.9248286044,63
124560,209221,307639,-4.5595234643,-5.120640364,-6.927221427,64
124390,209301,307869,-4.7605205627,-4.9914279436,-6.893721910599999,65
124255,209372,307860,-4.4434715682,-4.9962135888,-6.8506511038,66
124191,209402,307974,-4.6337009649,-5.0117669357,-6.8745793297999995,67
124207,209383,307957,-4.5930229807,-5.072783911999999,-6.8949183219000005,68
124186,209362,307942,-4.7234318124,-5.0273202826,-6.8961147332,69
124195,209392,307816,-4.5403808835,-5.1110690735999995,-6.9056860235999995,70
124221,209293,307834,-4.5690947547,-5.139782944799999,-6.8590259828999995,71
124235,209258,307801,-4.4949172541,-5.1062834284,-6.8482582812,72
124226,209186,307736,-4.6947179412,-5.1158547188000005,-6.8219372326,73
124217,209140,307747,-4.6337009649,-5.0045884679,-6.8171515874,74
124218,209242,307667,-4.6731825378,-4.9591248385,-6.8327049343,75
124183,209222,307699,-4.5619162869,-4.9806602419,-6.893721910599999,76
124209,209194,307613,-4.6911287073,-4.9686961289000005,-6.8853470315,77
124250,209145,307634,-4.5403808835,-5.0536413312,-6.8422762247,78
124277,209111,307547,-4.6384866101,-5.0309095165,-6.903293200999999,79
124324,209070,307569,-4.7042892316,-5.0907300815,-6.9308106609,80
124347,209092,307460,-4.7437708044999995,-5.0069812905,-6.8327049343,81
124376,209074,307433,-4.618147618,-5.1302116544,-6.927221427,82
124383,209050,307351,-4.6660040700000005,-5.132604477,-6.8219372326,83
124435,209006,307271,-4.6492543118,-4.929214556,-6.8099731195999995,84
124461,209023,307388,-4.7676990305,-5.026123871299999,-6.9056860235999995,85
124463,209014,307343,-4.8251267729,-5.1625147595,-6.8039910631,86
124536,208998,307252,-4.6683968926,-5.045266452099999,-6.7848484823,87
124558,208933,307208,-4.6755753604,-5.0356951617,-6.9116680801,88
124529,208955,307212,-4.7748774982999995,-4.9567320159,-6.867400862,89
124391,209001,307352,-4.713860522,-4.9698925402,-6.7872413049,90
124326,209061,307384,-4.7676990305,-5.0141597583,-6.8745793297999995,91
124322,209060,307441,-4.7318066915,-5.1493542352,-6.9104716688000005,92
124347,209063,307430,-4.6145583840999995,-5.127818831799999,-6.853043926400001,93
124400,209069,307376,-4.7078784655,-5.0955157266999995,-6.851847515099999,94
124445,209025,307347,-4.6588256022,-5.132604477,-6.9056860235999995,95
124508,209001,307327,-4.7006999977,-5.1852465742,-6.8075802969999994,96
124509,208968,307271,-4.7282174576000005,-5.0811587911,-6.8602223942,97
124523,208959,307219,-4.7282174576000005,-5.1110690735999995,-6.836294168199999,98
124536,208975,307260,-4.7210389898,-5.000999234,-6.7920269500999995,99
124555,208969,307223,-4.7413779819,-5.235495848799999,-6.8267228778,100
124598,208977,307188,-4.609772738899999,-5.0476592747,-6.8410798134,101
124655,208968,307108,-4.705485642899999,-5.1194439527,-6.8458654586,102
124689,208913,307144,-4.5595234643,-5.0548377425,-6.824330055200001,103
124772,208914,307104,-4.6456650779,-5.1613183482,-6.7884377162,104
