green,red,IR,acc_x,acc_y,acc_z,sample_index
103619,186361,234100,1.2658031554,9.936195846499999,0.6269195211999999,1
103813,186427,234136,1.2131610582,9.9936235889,0.7429714173,2
103956,186389,234177,1.2837493249,10.118050364099998,0.6329015777,3
103912,186394,234118,1.136590735,9.9565348386,0.5216353268,4
103970,186451,234079,1.3112667848,9.9708917742,0.6472585133,5
104107,186463,234179,1.3387842447,9.8799645154,0.6173482308,6
104244,186460,234184,1.2574282763000002,9.937392257800001,0.5694917788,7
104238,186429,234172,1.2538390423999999,10.0067841132,0.6436692794,8
104390,186522,234161,1.1138589203,10.0283195166,0.6364908116,9
104558,186515,234229,1.1557333158,9.9122676205,0.6448656907,10
104703,186547,234193,1.3316057769,10.0199446375,0.5551348432,11
104878,186537,234220,1.1748758966000001,9.942177903,0.5682953675,12
105004,186569,234243,1.1557333158,9.9972128228,0.6245266986,13
105126,186601,234232,1.2299108163999999,9.888339394499999,0.5766702466,14
105217,186584,234260,1.2729816232,9.9517491934,0.586241537,15
105354,186607,234238,1.244267752,9.894321451,0.5479563754,16
105372,186595,234285,1.1665010175000001,9.945767136899999,0.5838487144,17
105026,186391,234150,1.2610175101999999,9.9708917742,0.5036891573,18
104279,186252,234007,1.220339526,9.9936235889,0.6376872229,19
103706,186192,233998,1.4129617452999998,10.0558369765,0.5718846014,20
103429,186155,233965,1.2239287599,10.013962581,0.5108676251000001,21
103319,186167,233963,1.0947163395,9.966106129,0.6364908116,22
103307,186169,233959,1.1892328322,9.906285564,0.6173482308,23
103389,186202,233989,1.1318050897999998,9.8321080634,0.6125625856,24
103581,186339,234024,1.2035897678,10.088140081599999,0.6233302873,25
103805,186355,234083,1.2059825904,9.9840522985,0.5599204884,26
103934,186363,234050,1.2789636797000001,10.035497984400001,0.6735795618999999,27
104020,186364,234060,1.2849457361999999,9.9086783866,0.6089733517,28
104098,186387,234107,1.2143574695,10.0821580251,0.5790630692000001,29
104192,186376,234098,1.1413763801999999,9.8871429832,0.6209374647,30
104253,186405,234123,1.3064811396,9.8967142736,0.5754738353000001,31
104406,186453,234087,1.1473584366999998,9.9038927414,0.6735795618999999,32
104546,186461,234172,1.0432706536,9.932606612599999,0.6077769404,33
104585,186501,234164,1.3112667848,9.9493563708,0.6508477471999999,34
104812,186505,234147,1.2059825904,9.9469635482,0.4725824635,35
104959,186539,234160,1.2993026717999998,9.9397850804,0.5730810127,36
105074,186564,234223,1.2227323486,10.063015444300001,0.5766702466,37
105177,186567,234234,1.2993026717999998,9.9708917742,0.5766702466,38
105294,186555,234245,1.2071790017,9.9385886691,0.5503491979999999,39
105445,186627,234204,1.1569297271,10.0414800409,0.5503491979999999,40
105558,186637,234245,1.2717852119000002,10.0043912906,0.5216353268,41
105702,186667,234280,1.2275179938,10.0319087505,0.5706881900999999,42
105776,186646,234268,1.2813565023,10.0582297991,0.526420972,43
105897,186710,234295,1.2394821068,10.063015444300001,0.574277424,44
105978,186684,234289,1.2191431147,10.110871896299999,0.5120640364,45
105614,186495,234136,1.1102696864,9.9445707256,0.5599204884,46
104739,186305,234075,1.1856435983,9.918249677,0.6436692794,47
104123,186192,234006,1.1952148887,10.0151589923,0.4749752861,48
103823,186175,233946,1.256231865,9.839286531199999,0.6687939167,49
103719,186232,233935,1.2370892842,9.8811609267,0.6233302873,50
103691,186252,233956,1.2059825904,9.9816594759,0.6759723845,51
103656,186223,233944,1.1509476706000001,10.159924759599999,0.5455635528,52
103932,186327,234004,1.1162517428999998,9.8931250397,0.6077769404,53
104109,186416,234038,1.1940184774,10.0534441539,0.5551348432,54
104274,186322,234043,1.280160091,10.0295159279,0.5216353268,55
104346,186373,234077,1.1545369045,9.9266245561,0.5934200048,56
104430,186438,234043,1.2059825904,10.1276216545,0.6245266986,57
104507,186434,234094,1.4057832774999999,9.937392257800001,0.5970092387,58
104624,186438,234075,1.1940184774,9.9864451211,0.5874379483000001,59
104730,186510,234112,1.2753744458,9.9732845968,0.5790630692000001,60
104854,186499,234138,1.2418749294,9.966106129,0.6376872229,61
104991,186555,234145,1.2921242039999998,9.878768104099999,0.6448656907,62
105133,186577,234232,1.1042876299,10.025926694,0.5611168997,63
105216,186583,234188,1.136590735,10.0163554036,0.5240281494,64
105379,186612,234227,1.2155538808,10.048658508699999,0.5958128274,65
105497,186632,234221,1.2370892842,9.945767136899999,0.5934200048,66
105630,186715,234212,1.1533404932,9.894321451,0.5766702466,67
105757,186667,234272,1.2179467034,9.9409814917,0.6508477471999999,68
105884,186691,234258,1.1270194446,10.0319087505,0.5120640364,69
105980,186698,234237,1.2741780345,9.9469635482,0.5814558918,70
106054,186634,234295,1.3136596074,9.8847501606,0.5910271822000001,71
106102,186671,234196,1.2490533972,9.9876415324,0.6149554081999999,72
105808,186563,234100,1.2394821068,10.1132647189,0.6149554081999999,73
105116,186339,233995,1.2287144051,9.966106129,0.5240281494,74
104289,186203,233947,1.1306086785,9.9122676205,0.502492746,75
103979,186187,233901,1.1868400096,9.9912307663,0.5898307709,76
103935,186246,233895,1.2945170266,9.9445707256,0.5431707302,77
103969,186159,233884,1.2454641632999999,9.9912307663,0.5192425042,78
104045,186296,233928,1.2933206153,10.0510513313,0.49651068949999994,79
104232,186336,234005,1.1892328322,9.8380901199,0.5455635528,80
104431,186431,234000,1.2634103328,10.0510513313,0.5300102059,81
104501,186410,233986,1.2669995667,10.0462656861,0.5599204884,82
104554,186391,233916,1.3770694063,9.9852487098,0.6137589969,83
104539,186411,234030,1.2981062605,10.060622621699999,0.5503491979999999,84
104653,186449,234019,1.1712866627,9.963713306399999,0.5898307709,85
104802,186435,234022,1.2418749294,9.9732845968,0.6233302873,86
104935,186433,234062,1.2598210989,10.04985492,0.5814558918,87
105034,186513,234035,1.148554848,9.9948200002,0.5790630692000001,88
105161,186548,234078,1.1796615418,9.9290173787,0.5790630692000001,89
105272,186504,234076,1.3292129543,9.9840522985,0.5335994398,90
105372,186562,234057,1.1545369045,10.0199446375,0.5934200048,91
105519,186630,234104,1.2287144051,9.9445707256,0.5527420206,92
105595,186627,234119,1.1760723079,10.0067841132,0.6053841178,93
105749,186633,234162,1.3244273091,9.9720881855,0.586241537,94
105756,186647,234136,1.3842478741,9.8991070962,0.6173482308,95
105895,186644,234149,1.148554848,9.942177903,0.5455635528,96
105992,186683,234157,1.2059825904,9.932606612599999,0.5910271822000001,97
106162,186695,234163,1.2957134379000002,9.9134640318,0.6053841178,98
106017,186590,234101,1.3339985995,9.9481599595,0.5551348432,99
105457,186304,233906,1.2729816232,9.932606612599999,0.5335994398,100
104631,186297,233856,1.160518961,10.001998468,0.5479563754,101
104155,186230,233850,1.2263215825,10.022337460100001,0.5790630692000001,102
103951,186211,233807,1.2023933565,10.025926694,0.5766702466,103
103906,186252,233852,1.1892328322,9.9948200002,0.5718846014,104
103887,186227,233841,1.184447187,9.9816594759,0.6149554081999999,105
103993,186328,233845,1.1557333158,9.9086783866,0.586241537,106
104163,186389,233940,1.2179467034,9.8476614103,0.5718846014,107
104337,186415,233868,1.3555340029,9.8596255233,0.5886343596,108
104335,186423,233921,1.1868400096,10.0271231053,0.5670989562,109
104502,186421,233953,1.2669995667,9.9924271776,0.5910271822000001,110
104506,186435,233942,1.0947163395,9.8967142736,0.5431707302,111
104639,186473,233992,1.1294122672,10.1001041946,0.5575276658,112
104747,186495,234018,1.1042876299,9.9397850804,0.5934200048,113
104831,186534,234007,1.1940184774,9.9960164115,0.5694917788,114
104979,186555,234024,1.2837493249,9.999605645399999,0.5886343596,115
105119,186601,234049,1.3447663012,9.9613204838,0.46540399569999996,116
105240,186618,234128,1.1772687192,9.9254281448,0.5838487144,117
105343,186604,234051,1.4081761001,9.9254281448,0.538385085,118
105493,186612,234073,1.43569356,10.109675485,0.6675975054,119
105567,186705,234088,1.2251251712,9.980463064599999,0.6017948839,120
