green,red,IR,acc_x,acc_y,acc_z,sample_index
120724,197347,253185,-5.871986660399999,-3.9003008379999997,-6.855436749,1
120986,197374,253184,-5.9772708547999995,-3.7698920062999997,-6.824330055200001,2
121218,197408,253208,-6.000002669500001,-3.7998022888,-6.756134611099999,3
121403,197401,253226,-6.0825550492,-3.8536407972999998,-6.881757797600001,4
121596,197374,253200,-6.094519162199999,-3.7124642639,-6.8697936846,5
121370,197204,253060,-6.0035919034,-3.82851616,-6.798009006599999,6
120902,197095,253072,-5.9796636774,-3.9661034595,-6.7932233614,7
120418,197062,253035,-5.996413435599999,-3.9074793058,-6.8075802969999994,8
120131,197049,253033,-5.955735451400001,-3.8428730956,-6.753741788499999,9
120094,197086,253042,-5.9330036367,-3.9445680561,-6.855436749,10
120114,197131,253068,-5.9892349678,-3.8045879339999997,-6.811169530899999,11
120286,197208,253092,-6.0993048074,-3.8189448695999997,-6.7812592484,12
120509,197262,253144,-5.8935220638,-3.8021951114,-6.9020967897,13
120719,197319,253142,-6.029912952,-3.8596228538,-6.8578295716,14
120914,197317,253160,-5.9497533949,-3.8261233374,-6.786044893600001,15
121026,197320,253167,-6.1028940413,-3.7220355542999997,-6.843472636,16
121215,197325,253157,-6.025127306799999,-3.8021951114,-6.8159551761,17
121373,197330,253133,-5.9569318627,-3.7651063610999995,-6.8769721524,18
121515,197329,253153,-6.0023954921,-3.876372612,-6.7429740868,19
121702,197352,253174,-5.9880385565,-3.7758740628,-6.824330055200001,20
121776,197387,253193,-6.0622160571,-3.7794632967,-6.9248286044,21
121983,197393,253209,-5.925825168899999,-3.6957145057000003,-6.7393848529,22
122184,197454,253253,-5.873183071700001,-3.8333018051999996,-6.836294168199999,23
122384,197509,253198,-6.0562340006,-3.8069807566000002,-6.9044896123,24
122463,197448,253161,-6.0275201294,-3.720839143,-6.7884377162,25
122297,197243,253120,-5.9330036367,-3.8691941442,-6.7812592484,26
121759,197134,253060,-5.994020613,-3.8021951114,-6.8099731195999995,27
121301,197101,253024,-6.063412468399999,-3.8787654346,-6.8159551761,28
120993,197124,253098,-5.9210395237,-3.864408499,-6.8339013456,29
120845,197071,253080,-6.089733517,-3.7842489418999996,-6.771687958,30
120875,197216,253129,-5.885147184699999,-3.8560336199000003,-6.7657059015,31
121012,197262,253136,-6.080162226600001,-3.8153556357,-6.836294168199999,32
121194,197314,253151,-5.9748780322,-3.8488551521,-6.7908305388,33
121387,197410,253188,-5.994020613,-3.7794632967,-6.8171515874,34
121582,197400,253256,-5.9617175078999995,-3.7734812402,-6.8339013456,35
121716,197405,253208,-6.0705909362,-3.8691941442,-6.8075802969999994,36
121825,197428,253178,-5.9988062582,-3.888336725,-6.843472636,37
121933,197367,253196,-5.9868421452,-3.8057843452999998,-6.7501525546,38
