green,red,IR,acc_x,acc_y,acc_z,sample_index
108785,200952,260180,-3.5401810367,-1.4309079148000001,9.0855474122,1
108872,200999,260171,-3.4719855926,-1.3244273091,9.3260260835,2
108913,201002,260183,-3.457628657,-1.4141581566,9.176474671,3
108944,201075,260209,-3.361915753,-1.351944769,9.0783689444,4
108961,201063,260221,-3.3511480513,-1.4309079148000001,9.1669033806,5
108982,201103,260246,-3.5748769644,-1.3615160593999998,9.1872423727,6
109119,201104,260263,-3.6622149893000002,-1.3627124707,9.1776710823,7
109219,201187,260279,-3.3248270027,-1.4165509792000002,9.131011041599999,8
109377,201193,260309,-3.4396824875,-1.4548361408000001,9.1908316066,9
109542,201240,260296,-3.4325040196999996,-1.4787643668000001,9.0831545896,10
109692,201206,260355,-3.3367911156999996,-1.5110674719,9.1453679772,11
109909,201276,260336,-3.397808092,-1.3220344865,9.128618219,12
110075,201329,260402,-3.2841490185,-1.4428720278,9.1716890258,13
110253,201365,260428,-3.4875389395,-1.3495519463999999,9.1417787433,14
110429,201349,260454,-3.3678978095,-1.4285150922,9.104689993,15
110589,201341,260447,-3.3906296242,-1.4249258583,9.140582332,16
110769,201439,260408,-3.5306097463,-1.3926227532000002,9.1022971704,17
110980,201431,260491,-3.4025937372,-1.5050854154,9.1908316066,18
111122,201456,260462,-3.3834511564,-1.4572289634,9.1812603162,19
111282,201467,260480,-3.3990045032999996,-1.2933206153,9.2709911637,20
111449,201487,260554,-3.5712877305000004,-1.3950155758,9.1597249128,21
111613,201490,260512,-3.3678978095,-1.495514125,9.121439751199999,22
111572,201472,260497,-3.4863425282,-1.4081761001,9.1597249128,23
111367,201387,260430,-3.3176485349,-1.4644074312,9.0975115252,24
110784,201316,260400,-3.5102707542,-1.4237294470000001,9.1692962032,25
110286,201261,260358,-3.5473595045,-1.3363914221,9.1453679772,26
109692,201191,260287,-3.5210384559,-1.5613167465000002,9.1740818484,27
109560,201150,260280,-3.4025937372,-1.4201402131,9.0759761218,28
109397,201176,260269,-3.4049865597999998,-1.3794622289,9.165706969299999,29
109444,201164,260262,-3.409772205,-1.495514125,9.1728854371,30
109576,201218,260333,-3.3200413575,-1.4476576730000001,9.2518485829,31
109674,201207,260329,-3.3511480513,-1.4213366244,9.1070828156,32
109689,201177,260315,-3.4049865597999998,-1.3902299306,9.1453679772,33
109729,201231,260329,-3.4360932536,-1.3794622289,9.1716890258,34
109734,201223,260309,-3.505485109,-1.3651052933,9.1549392676,35
109798,201219,260326,-3.3296126479000003,-1.4632110199,9.1597249128,36
109918,201272,260329,-3.3607193417,-1.3914263419,9.1477607998,37
110042,201290,260398,-3.4384860762,-1.4668002538,9.1334038642,38
110189,201255,260405,-3.3571301077999998,-1.4057832774999999,9.176474671,39
110339,201313,260361,-3.5102707542,-1.2466605746,9.1573320902,40
110501,201325,260372,-3.3667013982,-1.3076775509,9.1429751546,41
110656,201335,260371,-3.4277183745,-1.3866406967,9.1872423727,42
110788,201381,260428,-3.3475588174,-1.4428720278,9.1322074529,43
110959,201329,260404,-3.3954152694,-1.4380863826,9.1070828156,44
111067,201337,260391,-3.5928231339,-1.4739787216,9.2638126959,45
110961,201304,260381,-3.4432717214,-1.4309079148000001,9.2542414055,46
110466,201192,260317,-3.2709884942,-1.2981062605,9.2303131795,47
109925,201163,260256,-3.4061829711000002,-1.6139588437,9.2829552767,48
109470,201040,260273,-3.433700431,-1.4859428346,9.178867493599999,49
109141,201007,260206,-3.5497523270999998,-1.4668002538,9.1250289851,50
108992,200986,260203,-3.4600214796,-1.4129617452999998,9.1298146303,51
108904,201010,260212,-3.2865418411,-1.5134602944999997,9.0975115252,52
109122,201018,260186,-3.2566315586,-1.4428720278,9.095118702599999,53
109253,201085,260223,-3.3762726886,-1.4213366244,9.2279203569,54
109347,201021,260239,-3.5006994637999997,-1.483550012,9.1800639049,55
109354,201031,260243,-3.4432717214,-1.4763715442,9.1238325738,56
109497,201079,260235,-3.5222348672,-1.4201402131,9.1357966868,57
109534,201076,260295,-3.3631121643,-1.4452648504,9.1597249128,58
109636,201086,260297,-3.5018958750999998,-1.3854442854000002,9.178867493599999,59
109783,201086,260251,-3.4025937372,-1.4488540843,9.2219383004,60
109928,201140,260251,-3.5198420446,-1.5242279962,9.140582332,61
110102,201173,260341,-3.4600214796,-1.3938191645,9.2183490665,62
110262,201161,260305,-3.4313076084,-1.4368899712999998,9.1142612834,63
110444,201192,260335,-3.3643085755999995,-1.3220344865,9.175278259699999,64
110474,201172,260282,-3.4492537779,-1.3734801723999999,9.1740818484,65
110177,201107,260284,-3.4013973259,-1.351944769,9.1573320902,66
109618,200990,260252,-3.3236305914,-1.4979069476,9.1501536224,67
109145,200888,260169,-3.3391839383,-1.351944769,9.1142612834,68
108775,200858,260166,-3.4959138186,-1.3998012210000002,9.140582332,69
108526,200854,260125,-3.4671999473999997,-1.4668002538,9.1477607998,70
108550,200846,260111,-3.3439695835000003,-1.4069796888000001,9.1812603162,71
108647,200881,260130,-3.4289147858,-1.5577275125999999,9.165706969299999,72
108860,200900,260167,-3.5078779316,-1.4261222696,9.080761767,73
109027,200950,260165,-3.4851461168999998,-1.3052847283,9.116654106,74
109138,200945,260197,-3.3248270027,-1.4739787216,9.1334038642,75
109278,200977,260228,-3.4432717214,-1.4045868662,9.1920280179,76
109340,200994,260223,-3.4085757937,-1.4093725114000002,9.1944208405,77
109536,201030,260259,-3.4109686163,-1.3938191645,9.037690960199999,78
109714,201045,260306,-3.4265219632000004,-1.3710873497999998,9.0843510009,79
109863,201075,260299,-3.4743784152000003,-1.4763715442,9.2446701151,80
109993,201097,260321,-3.4396824875,-1.4500504956,9.1453679772,81
110279,201122,260375,-3.421736318,-1.3686945272,9.1262253964,82
110447,201205,260360,-3.385843979,-1.3998012210000002,9.0999043478,83
110708,201196,260411,-3.3439695835000003,-1.4129617452999998,9.1357966868,84
110926,201313,260425,-3.3248270027,-1.4201402131,9.1070828156,85
111113,201274,260372,-3.4624143022,-1.3854442854000002,9.1800639049,86
111337,201349,260429,-3.4480573666,-1.4608181972999998,9.1238325738,87
111540,201275,260483,-3.5246276898,-1.4907284798,9.140582332,88
111751,201307,260411,-3.4013973259,-1.4237294470000001,9.2087777761,89
111946,201321,260461,-3.457628657,-1.4165509792000002,9.2159562439,90
112122,201341,260507,-3.3511480513,-1.4045868662,9.207581364800001,91
112231,201345,260478,-3.3499516399999996,-1.4105689227,9.1920280179,92
112296,201327,260405,-3.4253255519,-1.3830514628000001,9.2267239456,93
111928,201230,260391,-3.4253255519,-1.4033904549,9.1429751546,94
111403,201113,260336,-3.4193434953999997,-1.3375878334,9.0125663229,95
110948,201058,260280,-3.3080772444999997,-1.4141581566,9.1417787433,96
110585,201015,260259,-3.3942188581,-1.4440684390999998,9.116654106,97
110333,200986,260276,-3.4313076084,-1.5242279962,9.095118702599999,98
110261,200999,260258,-3.4313076084,-1.4679966650999998,9.081958178299999,99
110386,201036,260289,-3.4169506728,-1.4428720278,9.1573320902,100
110507,201051,260281,-3.3391839383,-1.4404792052000002,9.1597249128,101
110642,201095,260265,-3.4959138186,-1.3292129543,9.1597249128,102
110678,201102,260328,-3.3343982931,-1.4189438018,9.0472622506,103
110773,201113,260337,-3.4671999473999997,-1.4787643668000001,9.1836531388,104
110858,201094,260328,-3.4516466004999997,-1.4081761001,9.178867493599999,105
110954,201167,260368,-3.3056844219,-1.3172488413,9.0795653557,106
111119,201265,260427,-3.4181470840999997,-1.3603196481,9.1453679772,107
111325,201245,260384,-3.5353953915,-1.3316057769,9.1561356789,108
111473,201260,260379,-3.4301111971,-1.3686945272,9.1441715659,109
111658,201317,260418,-3.4002009146,-1.4285150922,9.2231347117,110
111808,201321,260445,-3.4037901484999997,-1.4668002538,9.0879402348,111
112081,201365,260490,-3.3523444626,-1.5529418674,9.1824567275,112
112244,201392,260541,-3.5688949079,-1.3148560187,9.2027957196,113
112451,201417,260504,-3.4600214796,-1.4560325521,9.2566342281,114
112568,201428,260565,-3.421736318,-1.5014961814999999,9.175278259699999,115
112462,201376,260547,-3.5341989802,-1.459621786,9.1812603162,116
112209,201290,260448,-3.4552358344000003,-1.3866406967,9.164510558,117
111732,201189,260409,-3.4025937372,-1.3842478741,9.0855474122,118
111299,201177,260401,-3.3690942208,-1.4548361408000001,9.200402897,119
111015,201109,260339,-3.4181470840999997,-1.4045868662,9.1070828156,120
110850,201089,260333,-3.4313076084,-1.3387842447,9.2434737038,121
110838,201126,260374,-3.5162528107,-1.5254244074999999,9.1118684608,122
110982,201171,260348,-3.4193434953999997,-1.4213366244,9.2219383004,123
111134,201184,260380,-3.4827532943,-1.5218351736,9.1932244292,124
111222,201216,260389,-3.5090743428999995,-1.4297115034999999,9.1238325738,125
111276,201193,260380,-3.3511480513,-1.3710873497999998,9.1262253964,126
111298,201212,260425,-3.5365918028000003,-1.5182459396999999,9.2099741874,127
111384,201231,260433,-3.3762726886,-1.4261222696,9.178867493599999,128
111483,201259,260395,-3.4815568829999997,-1.375872995,9.1429751546,129
111659,201270,260465,-3.3535408739,-1.4464612617,9.0723868879,130
111793,201285,260455,-3.4791640604,-1.4715858990000001,9.1381895094,131
111978,201303,260488,-3.433700431,-1.4428720278,9.1872423727,132
112051,201319,260488,-3.5234312785000004,-1.4644074312,9.232706002099999,133
112182,201305,260465,-3.3822547451,-1.4333007374,9.2099741874,134
112013,201220,260469,-3.433700431,-1.3148560187,9.1453679772,135
111546,201156,260411,-3.4002009146,-1.4021940436,9.0831545896,136
111169,201064,260334,-3.4971102299,-1.5206387623,9.153742856300001,137
110821,201035,260312,-3.3798619225,-1.5122638832,9.1848495501,138
110619,201004,260226,-3.3726834547,-1.4237294470000001,9.1453679772,139
110608,201046,260320,-3.4109686163,-1.5002997702,9.162117735399999,140
110741,201043,260311,-3.4827532943,-1.3938191645,9.1429751546,141
110899,201081,260299,-3.4612178908999995,-1.4967105363,9.207581364800001,142
111016,201155,260333,-3.4803604716999996,-1.3256237203999999,9.0975115252,143
111075,201104,260366,-3.4241291406,-1.4404792052000002,9.1501536224,144
111061,201120,260345,-3.397808092,-1.3734801723999999,9.176474671,145
111235,201105,260349,-3.3930224468000003,-1.5062818266999998,9.0616191862,146
111332,201128,260363,-3.5557343836,-1.3782658175999998,9.1501536224,147
111470,201164,260393,-3.2685956716,-1.5158531170999998,9.164510558,148
111610,201165,260376,-3.4552358344000003,-1.4045868662,9.1357966868,149
111795,201195,260379,-3.4049865597999998,-1.4428720278,9.2267239456,150
111950,201192,260407,-3.5330025689,-1.5266208188,9.0831545896,151
112033,201168,260370,-3.3690942208,-1.4799607781,9.152546445,152
111832,201104,260324,-3.433700431,-1.4237294470000001,9.178867493599999,153
111370,201021,260300,-3.4360932536,-1.3363914221,9.0999043478,154
110899,200899,260199,-3.4121650276000004,-1.3986048097,9.0999043478,155
110518,200848,260183,-3.4193434953999997,-1.3579268255,9.1477607998,156
110305,200817,260156,-3.4528430117999998,-1.5361921092,9.131011041599999,157
110231,200827,260185,-3.4803604716999996,-1.4333007374,9.0293160811,158
110315,200828,260121,-3.4731820039,-1.4237294470000001,9.162117735399999,159
110479,200852,260177,-3.4432717214,-1.3986048097,9.1836531388,160
