green,red,IR,acc_x,acc_y,acc_z,sample_index
54674,140392,162314,4.7605205627,-8.2899338977,2.0171494518,1
54718,140382,162319,4.677968183,-8.4012001486,1.9920248145,2
54724,140349,162284,4.6588256022,-8.3748791,1.9657037659,3
54627,140334,162291,4.6636112473999995,-8.3437724062,1.998006871,4
54464,140371,162235,4.642075844,-8.3940216808,1.9166509025999998,5
54274,140375,162286,4.5296131818,-8.281559018600001,1.8460626359,6
54107,140454,162293,4.6396830214,-8.2827554299,1.9345970721,7
53997,140502,162344,4.6480579005,-8.2995051881,1.9728822337,8
53948,140497,162359,4.7676990305,-8.316254946299999,2.057827436,9
53914,140518,162358,4.7461636271,-8.2660056717,2.0051853388,10
53927,140516,162361,4.5355952383,-8.2504523248,1.9633109433,11
53966,140491,162314,4.5427737061,-8.3940216808,1.9429719511999999,12
53991,140475,162340,4.6408794327,-8.3210405915,1.9262221929999999,13
54002,140432,162327,4.7126641107,-8.3222370028,1.9561324755,14
54021,140435,162317,4.833501652,-8.3569329305,1.938186306,15
53983,140410,162288,4.6516471344,-8.3294154706,1.9549360641999998,16
53973,140442,162317,4.6660040700000005,-8.4430745441,1.8807585636,17
53969,140437,162343,4.5164526575,-8.3078800672,1.9118652574,18
53998,140512,162353,4.6169512067000005,-8.3760755113,1.8520446924,19
54007,140444,162342,4.5511485852,-8.352147285300001,1.8951154991999999,20
54065,140447,162345,4.5690947547,-8.327022648,2.0159530405,21
54060,140424,162375,4.618147618,-8.2468630909,1.9262221929999999,22
54080,140468,162354,4.606183505,-8.3665042209,1.9405791285999998,23
54148,140407,162351,4.5655055207999995,-8.4550386571,1.962114532,24
54195,140440,162338,4.6839502395,-8.2731841395,1.9094724347999998,25
54240,140408,162338,4.6121655615,-8.3892360356,1.9633109433,26
54289,140415,162371,4.5164526575,-8.2695949056,1.9334006607999998,27
54308,140396,162361,4.6277189084,-8.3007015994,1.9262221929999999,28
54365,140300,162355,4.589433746799999,-8.3318082932,1.8759729184,29
54379,140407,162342,4.4590249151000005,-8.4394853102,2.0111673952999998,30
54457,140359,162345,4.6516471344,-8.3557365192,1.8855442087999998,31
54401,140363,162318,4.7030928203,-8.3126657124,1.9680965885,32
54265,140324,162316,4.7246282237,-8.3007015994,1.9800607015,33
54106,140346,162330,4.54636294,-8.1774712355,1.9357934834,34
53988,140437,162372,4.6384866101,-8.2085779293,1.9477575963999998,35
53855,140489,162368,4.6301117309999995,-8.3186477689,1.9645073545999998,36
53806,140508,162360,4.5966122146,-8.303094422,1.9669001771999999,37
53809,140522,162424,4.558327053,-8.4131642616,1.9334006607999998,38
53776,140535,162393,4.5655055207999995,-8.3294154706,1.8855442087999998,39
53834,140532,162427,4.5559342304,-8.3784683339,1.9573288867999998,40
53863,140483,162391,4.6205404406,-8.303094422,1.9034903783000001,41
53900,140465,162381,4.748556449700001,-8.294719542900001,1.9393827173,42
53949,140451,162405,4.6013978598,-8.239684623099999,2.0183458631,43
53963,140467,162393,4.7030928203,-8.2743805508,1.9513468303000001,44
53966,140423,162402,4.6468614892,-8.25523797,1.9836499354,45
54013,140434,162388,4.492524431500001,-8.3617185757,1.9692929998,46
54051,140410,162411,4.6660040700000005,-8.316254946299999,1.9872391693,47
54130,140488,162427,4.7700918531,-8.2325061553,1.8640088054,48
54138,140447,162439,4.7006999977,-8.3342011158,1.9453647738,49
54203,140462,162413,4.5248275366,-8.1894353485,2.0051853388,50
54247,140487,162432,4.671986126499999,-8.2755769621,2.0015961049,51
54335,140463,162448,4.7174497559,-8.2253276875,1.9597217094,52
54383,140455,162441,4.5978086259,-8.2983087768,1.8472590472,53
54443,140426,162420,4.558327053,-8.303094422,2.0027925162,54
54508,140435,162424,4.5858445129,-8.3126657124,1.9812571127999998,55
54567,140413,162442,4.6743789491,-8.4311104311,1.9310078382,56
54618,140403,162437,4.7665026192,-8.3449688175,1.8927226765999998,57
54658,140390,162439,4.642075844,-8.2755769621,2.0015961049,58
