green,red,IR,acc_x,acc_y,acc_z,sample_index
99181,205226,243460,4.3334017286,-8.6440716425,0.8434699665000001,1
99758,205336,243535,4.1383866867,-8.707481441399999,0.7166503687,2
99997,205308,243558,4.3405801963999995,-8.6153577713,0.7046862557000001,3
100172,205324,243495,4.3704904789,-8.8307118053,0.7692924659,4
100390,205329,243548,4.331008906,-8.7110706753,0.7322037156,5
100857,205387,243576,4.1826539048,-8.7026957962,0.7441678286,6
101407,205491,243649,4.378865358,-8.721838377,0.7106683122,7
101998,205553,243622,4.3836510032,-8.6428752312,0.8051848049,8
102658,205598,243675,4.3944187049,-8.709874264,0.6269195211999999,9
103282,205701,243759,4.3142591478000005,-8.793623055,0.6723831506,10
103810,205768,243807,4.382454591899999,-8.694320917099999,0.7980063370999999,11
103853,205712,243744,4.3740797127999995,-8.6751783363,0.789631458,12
102325,205513,243616,4.2281175342,-8.6835532154,0.7274180704000001,13
100429,205210,243415,4.2029928969000006,-8.5495551498,0.7166503687,14
99300,204955,243303,4.3166519704,-8.6572321668,0.8195417405,15
99232,204947,243230,4.3142591478000005,-8.7278204335,0.6723831506,16
99605,204884,243234,4.2520457602,-8.695517328400001,0.7645068207,17
100246,204984,243244,4.4183469309,-8.7625163612,0.7489534738,18
101067,205029,243292,4.2520457602,-8.7314096674,0.753739119,19
101863,205087,243350,4.2520457602,-8.7385881352,0.705882667,20
102559,205151,243373,4.3657048337,-8.6644106346,0.6424728680999999,21
102910,205172,243410,4.319044793,-8.6967137397,0.7310073043,22
103184,205201,243420,4.3932222936,-8.6297147069,0.7645068207,23
103633,205274,243425,4.3776689467,-8.673981925,0.6532405698,24
104217,205368,243434,4.5056849558,-8.7146599092,0.7405785947,25
104920,205441,243497,4.4099720518000005,-8.6189470052,0.6783652070999999,26
105603,205518,243544,4.1671005579,-8.695517328400001,0.693918554,27
106342,205606,243566,4.342973019,-8.5615192628,0.6580262149999999,28
106953,205666,243663,4.3968115275,-8.8438723296,0.8147560952999999,29
107647,205793,243766,4.3704904789,-8.8211405149,0.7190431913,30
107676,205730,243687,4.2927237444,-8.7840517646,0.6987041992,31
106661,205566,243635,4.3010986235,-8.7026957962,0.6053841178,32
105304,205350,243420,4.3262232608,-8.5806618436,0.7010970218,33
104625,205207,243362,4.259224228,-8.6249290617,0.6687939167,34
104595,205205,243358,4.3680976563,-8.6787675702,0.6747759731999999,35
104939,205170,243392,4.4063828179,-8.7912302324,0.6699903279999999,36
105532,205177,243373,4.3980079388,-8.653642932899999,0.6364908116,37
106336,205342,243487,4.3501514868,-8.859425676499999,0.6735795618999999,38
107009,205286,243496,4.2388852359,-8.7637127725,0.693918554,39
107391,205434,243552,4.2568314054,-8.5328053916,0.7453642399,40
107514,205450,243538,4.387240237099999,-8.6440716425,0.6388836341999999,41
107778,205452,243553,4.3250268494999995,-8.6931245058,0.7010970218,42
108171,205500,243553,4.3836510032,-8.7314096674,0.5934200048,43
108687,205525,243624,4.353740720699999,-8.650053698999999,0.6819544409999999,44
