green,red,IR,acc_x,acc_y,acc_z,sample_index
79549,194821,242428,-1.9537396529,9.6418786667,-2.6775684894,1
79598,194838,242490,-1.9106688461,9.6023970938,-2.5304098995,2
79624,194816,242439,-2.1044874766999997,9.5677011661,-2.6656043763999997,3
79673,194829,242476,-2.0386848552,9.549754996599999,-2.6153551018,4
79725,194824,242494,-2.0506489682,9.6275217311,-2.6177479243999997,5
79782,194910,242499,-1.9669001771999999,9.5748796339,-2.6548366747000003,6
79805,194904,242448,-2.1008982428,9.5521478192,-2.6129622792,7
79809,194854,242400,-2.0422740890999997,9.5808616904,-2.6057838114000003,8
79647,194785,242378,-2.1152551784,9.6143612068,-2.5926232871,9
79384,194833,242351,-2.1810577999,9.6777710057,-2.6165515131,10
79134,194731,242299,-2.0961125976,9.579665279099999,-2.6009981662,11
78964,194671,242282,-2.0709879603,9.5521478192,-2.6249263922,12
78849,194614,242306,-2.0781664281,9.5449693514,-2.5710878837,13
78858,194689,242329,-1.9872391693,9.5700939887,-2.6703900216,14
78863,194679,242356,-2.0602202586000002,9.6526463684,-2.596212521,15
78911,194699,242331,-1.9357934834,9.5928258034,-2.5818555854,16
78920,194662,242349,-2.0231315083,9.6370930215,-2.6404797391000003,17
78991,194672,242315,-2.03389921,9.5665047548,-2.5627130046,18
78963,194693,242291,-2.1212372348999997,9.4923272542,-2.6093730453,19
78977,194632,242273,-2.0315063874,9.583254513,-2.6392833278,20
79011,194716,242292,-1.9872391693,9.5736832226,-2.5842484079999997,21
79054,194685,242286,-1.9585252981,9.547362174,-2.5160529638999996,22
79085,194643,242293,-2.0267207422,9.629914553699999,-2.4873390927,23
79127,194717,242328,-2.069791549,9.6023970938,-2.6775684894,24
79161,194674,242368,-2.0829520733,9.595218626,-2.6033909887999998,25
79228,194695,242380,-2.0769700168,9.629914553699999,-2.5686950610999997,26
79195,194724,242396,-2.0662023151,9.5007021333,-2.5998017549,27
79309,194688,242359,-1.9573288867999998,9.6023970938,-2.5746771176,28
79363,194768,242355,-2.1930219129,9.5413801175,-2.5878376418999998,29
79403,194772,242408,-2.0243279196,9.5389872949,-2.5770699402,30
79461,194755,242416,-2.0769700168,9.6717889492,-2.5328027221,31
79516,194705,242379,-1.9274186043000001,9.6921279413,-2.6608187311999996,32
79552,194780,242436,-1.9393827173,9.5138626576,-2.6775684894,33
79628,194925,242453,-2.0901305410999997,9.6897351187,-2.6021945774999997,34
79671,194842,242439,-1.9704894111,9.6418786667,-2.5375883673,35
79704,194840,242376,-2.1320049366,9.6143612068,-2.5674986498,36
79637,194811,242349,-2.0159530405,9.6239324972,-2.5782663514999995,37
79419,194776,242281,-2.0386848552,9.6382894328,-2.6129622792,38
79088,194729,242267,-2.0171494518,9.518648302799999,-2.6069802227000003,39
78957,194678,242251,-2.0111673952999998,9.5976114486,-2.6404797391000003,40
78836,194648,242273,-2.021935097,9.5306124158,-2.5866412306,41
78764,194591,242217,-2.0626130812,9.5784688678,-2.5926232871,42
78811,194633,242250,-2.1008982428,9.6717889492,-2.5866412306,43
78818,194647,242264,-1.9692929998,9.6861458848,-2.548356069,44
78861,194647,242252,-2.1008982428,9.579665279099999,-2.5208386090999997,45
78901,194591,242271,-2.0602202586000002,9.5066841898,-2.5591237707,46
78900,194689,242248,-2.1224336462,9.6490571345,-2.5686950610999997,47
78921,194649,242306,-1.9716858223999998,9.6263253198,-2.6368905052,48
