green,red,IR,acc_x,acc_y,acc_z,sample_index
79971,193183,245089,-3.3403803495999997,9.687342296099999,0.2835494781,1
79981,193192,245130,-3.337987527,9.5258267706,0.23928226,2
79986,193147,245092,-3.2650064377,9.5246303593,0.2931207685,3
79976,192995,245094,-3.3427731722,9.646664311899999,0.2656033086,4
80004,193079,245076,-3.3738798660000002,9.559326287,0.2584248408,5
80016,193131,245131,-3.3942188581,9.5677011661,0.3182454058,6
80074,193163,245098,-3.3439695835000003,9.7591269741,0.3302095188,7
80119,193139,245122,-3.2709884942,9.5007021333,0.2883351233,8
80110,193151,245083,-3.3774690999,9.7112705221,0.2787638329,9
80163,193186,245069,-3.2638100264,9.497112899400001,0.1806581063,10
80181,193202,245047,-3.326023414,9.6442714893,0.2727817764,11
80212,193187,245047,-3.3463624061,9.583254513,0.2931207685,12
80286,193196,245020,-3.2685956716,9.6239324972,0.3804587934,13
80279,193132,245050,-3.2721849055,9.607182739,0.2691925425,14
80299,193189,245047,-3.4037901484999997,9.7567341515,0.263210486,15
80329,193197,245044,-3.1357940173,9.4719882621,0.3397808092,16
80378,193192,245019,-3.2733813167999997,9.549754996599999,0.1866401628,17
80355,193180,245033,-3.3451659948,9.6562356023,0.2321037922,18
80388,193194,245039,-3.2410782117,9.6729853605,0.28953153460000003,19
80242,193205,245002,-3.4157542615,9.7495556837,0.215354034,20
80030,193155,245038,-3.3403803495999997,9.6705925379,0.2560320182,21
79839,193139,245043,-3.2997023654,9.5928258034,0.31944181709999997,22
79755,193142,245003,-3.4313076084,9.6155576181,0.2775674216,23
79739,193119,245048,-3.2446674455999998,9.6478607232,0.2847458894,24
79775,193176,245049,-3.3810583338,9.7686982645,0.2560320182,25
79803,193115,245033,-3.194418171,9.5784688678,0.1710868159,26
79862,193119,245039,-3.3092736558,9.6394858441,0.24885355039999998,27
79880,193131,245036,-3.2685956716,9.5557370531,0.3026920589,28
79872,193061,245002,-3.2590243811999997,9.6622176588,0.2380858487,29
79865,193124,245041,-3.314059301,9.5665047548,0.17706887240000002,30
79869,193076,245047,-3.2805597846,9.5880401582,0.20578274359999998,31
79888,193124,245046,-3.2925238975999997,9.5940222147,0.3086741154,32
79877,193059,245068,-3.278166962,9.4911308429,0.227318147,33
79947,193107,245071,-3.2949167202,9.6693961266,0.2297109696,34
79993,193133,245041,-3.314059301,9.589236569499999,0.179461695,35
80040,193134,245029,-3.3020951879999996,9.5557370531,0.32542387359999997,36
80087,193167,245029,-3.3020951879999996,9.522237536699999,0.2656033086,37
80050,193142,245037,-3.3332018818,9.5904329808,0.2297109696,38
80160,193097,245027,-3.2925238975999997,9.549754996599999,0.2979064137,39
80178,193227,244980,-3.3810583338,9.5401837062,0.2584248408,40
80229,193145,245016,-3.4468609552999996,9.732805925500001,0.2727817764,41
80261,193156,245072,-3.2853454298,9.4827559638,0.29551359110000003,42
80353,193238,245034,-3.3008987767,9.6945207639,0.1483550012,43
80323,193200,245045,-3.3032915993,9.455238503899999,0.3122633493,44
80226,193222,245063,-3.2315069213,9.6358966102,0.299102825,45
80012,193190,245120,-3.3403803495999997,9.646664311899999,0.2931207685,46
79824,193080,245053,-3.3523444626,9.559326287,0.1866401628,47
79751,193139,245041,-3.1250263156,9.598807859899999,0.20578274359999998,48
79741,193192,245112,-3.2949167202,9.510273423700001,0.2177468566,49
79772,193147,245078,-3.2398818003999996,9.6119683842,0.3278166962,50
79850,193135,245095,-3.3104700671000002,9.7591269741,0.24885355039999998,51
79886,193165,245080,-3.3714870434,9.5808616904,0.2775674216,52
79916,193085,245054,-3.2255248647999997,9.5677011661,0.3361915753,53
79930,193126,245051,-3.314059301,9.631110965,0.2009970984,54
79917,193133,245069,-3.3499516399999996,9.6323073763,0.3218346397,55
79939,193098,245034,-3.2829526072,9.5425765288,0.2560320182,56
79965,193122,245062,-3.3559336964999997,9.598807859899999,0.2321037922,57
79991,193094,245057,-3.2626136151000003,9.583254513,0.2201396792,58
80021,193077,245107,-3.3547372851999997,9.6526463684,0.215354034,59
80065,193122,245069,-3.2709884942,9.5712904,0.3278166962,60
80097,193130,245077,-3.266202849,9.6155576181,0.2943171798,61
80140,193145,245070,-3.4540394231000002,9.5138626576,0.2009970984,62
80189,193180,245114,-3.2386853891,9.667003304,0.3337987527,63
80138,193133,245048,-3.218346397,9.511469835,0.2297109696,64
80268,193124,245043,-3.3990045032999996,9.549754996599999,0.251246373,65
80314,193190,245024,-3.3678978095,9.5617191096,0.20578274359999998,66
80361,193176,245023,-3.2027930501,9.7256274577,0.2009970984,67
80394,193164,245065,-3.3056844219,9.510273423700001,0.21296121140000002,68
80441,193149,245092,-3.4253255519,9.6634140701,0.24885355039999998,69
80450,193171,245047,-3.3798619225,9.5856473356,0.19860427579999998,70
80456,193227,245037,-3.2338997439000003,9.6059863277,0.2931207685,71
80336,193192,245071,-3.361915753,9.6969135865,0.263210486,72
80114,193178,245035,-3.2709884942,9.5808616904,0.2225325018,73
79941,193104,245009,-3.3188449462,9.5365944723,0.2679961312,74
79843,193121,245076,-3.3547372851999997,9.4731846734,0.24885355039999998,75
79811,193188,245080,-3.1836504693,9.6969135865,0.2775674216,76
79838,193148,245094,-3.2542387359999996,9.6394858441,0.33260234139999995,77
79892,193142,245091,-3.1692935337,9.643075077999999,0.251246373,78
79940,193155,245094,-3.3439695835000003,9.549754996599999,0.3888336725,79
80028,193149,245021,-3.3355947043999996,9.621539674600001,0.2201396792,80
79971,193099,245039,-3.2123643404999997,9.6681997153,0.3014956476,81
79966,193046,245056,-3.3918260355000003,9.6263253198,0.2572284295,82
79977,193084,245074,-3.3008987767,9.6777710057,0.287138712,83
80010,193098,245067,-3.2769705507,9.6155576181,0.2584248408,84
80025,193087,245107,-3.4420753101,9.621539674600001,0.2967100024,85
80061,193085,245053,-3.266202849,9.6693961266,0.1962114532,86
80064,193104,245078,-3.2482566795000003,9.559326287,0.3625126239,87
80167,193103,245121,-3.2626136151000003,9.6897351187,0.25363919560000003,88
80187,193127,245061,-3.2099715178999997,9.495916488099999,0.2679961312,89
80205,193105,245017,-3.3475588174,9.6083791503,0.2440679052,90
80226,193119,245043,-3.314059301,9.5617191096,0.2297109696,91
80270,193066,244979,-3.2973095428,9.576076045199999,0.3421736318,92
80315,193172,245002,-3.2757741394,9.5856473356,0.2548356069,93
80354,193140,245015,-3.3272198253,9.6598248362,0.2560320182,94
80381,193028,245053,-3.3463624061,9.6705925379,0.2656033086,95
80403,193149,244989,-3.2853454298,9.5665047548,0.2285145583,96
80452,193177,245037,-3.4157542615,9.6837530622,0.2967100024,97
80481,193131,244963,-3.3403803495999997,9.6107719729,0.24885355039999998,98
80369,193159,244992,-3.3906296242,9.6526463684,0.41276189849999995,99
80182,193136,245006,-3.278166962,9.6849494735,0.23928226,100
79976,193119,245005,-3.2769705507,9.5976114486,0.2297109696,101
79863,193079,245039,-3.3403803495999997,9.619146852,0.2177468566,102
79840,193119,245031,-3.2327033326,9.5258267706,0.2560320182,103
79846,193073,245027,-3.2219356309,9.6681997153,0.30747770409999997,104
79877,193131,245083,-3.242274623,9.5928258034,0.2679961312,105
79940,193126,245056,-3.2602207924999997,9.6143612068,0.2081755662,106
79980,193082,245063,-3.266202849,9.5174518915,0.2105683888,107
79985,193002,245008,-3.3068808331999997,9.6514499571,0.251246373,108
79956,193050,245033,-3.3810583338,9.6131647955,0.20338992099999997,109
79962,193043,244981,-3.2853454298,9.6167540294,0.2321037922,110
79977,193054,244983,-3.2327033326,9.6634140701,0.24885355039999998,111
80001,193058,245023,-3.2327033326,9.6634140701,0.24885355039999998,112
80042,193036,245027,-3.2327033326,9.6634140701,0.24885355039999998,113
80065,193052,245006,-3.2327033326,9.6634140701,0.24885355039999998,114
80101,193021,244992,-3.2327033326,9.6634140701,0.24885355039999998,115
80144,193037,244953,-3.2327033326,9.6634140701,0.24885355039999998,116
80155,193083,244978,-3.2327033326,9.6634140701,0.24885355039999998,117
80208,193108,244955,-3.2327033326,9.6634140701,0.24885355039999998,118
80241,193097,244989,-3.3403803495999997,9.7806623775,0.23928226,119
80305,193122,244930,-3.2853454298,9.6167540294,0.17228322719999997,120
80314,193125,244936,-3.4002009146,9.5569334644,0.28953153460000003,121
80355,193132,244960,-3.3092736558,9.6263253198,0.20458633229999998,122
80406,193137,244969,-3.3487552287,9.6227360859,0.1890329854,123
80425,193183,244954,-3.2578279699,9.6143612068,0.2667997199,124
80358,193130,244989,-3.2267212761,9.6478607232,0.287138712,125
80184,193117,244961,-3.3595229304,9.619146852,0.29551359110000003,126
80016,193129,244969,-3.4169506728,9.6035935051,0.3242274623,127
79912,193098,244981,-3.2685956716,9.6143612068,0.2081755662,128
79889,193137,244975,-3.326023414,9.5617191096,0.2596212521,129
79903,193088,245048,-3.2458638569,9.6897351187,0.23688943739999999,130
79937,193009,245008,-3.2494530908,9.554540641800001,0.1902293967,131
80004,193098,245030,-3.3559336964999997,9.6131647955,0.2105683888,132
80046,193086,244989,-3.2769705507,9.5784688678,0.2967100024,133
80051,193098,244994,-3.2769705507,9.5784688678,0.2967100024,134
80047,193090,244995,-3.2769705507,9.5784688678,0.2967100024,135
80066,193089,245024,-3.2769705507,9.5784688678,0.2967100024,136
80062,193069,245001,-3.2769705507,9.5784688678,0.2967100024,137
80102,193062,245017,-3.2769705507,9.5784688678,0.2967100024,138
80135,193115,245084,-3.2769705507,9.5784688678,0.2967100024,139
80177,193104,245066,-3.2769705507,9.5784688678,0.2967100024,140
80206,193110,245018,-3.2769705507,9.5784688678,0.2967100024,141
80248,193102,245028,-3.2769705507,9.5784688678,0.2967100024,142
80292,193155,245014,-3.2769705507,9.5784688678,0.2967100024,143
80328,193159,245030,-3.2769705507,9.5784688678,0.2967100024,144
80386,193166,245023,-3.2769705507,9.5784688678,0.2967100024,145
80410,193139,244982,-3.2769705507,9.5784688678,0.2967100024,146
80449,193141,244980,-3.2769705507,9.5784688678,0.2967100024,147
80483,193152,244964,-3.2769705507,9.5784688678,0.2967100024,148
80527,193166,244996,-3.2769705507,9.5784688678,0.2967100024,149
80539,193184,245006,-3.2769705507,9.5784688678,0.2967100024,150
80478,193209,244994,-3.2171499857,9.6382894328,0.2775674216,151
80290,193188,245025,-3.2171499857,9.6382894328,0.2775674216,152
80111,193185,245045,-3.2171499857,9.6382894328,0.2775674216,153
80002,193179,245012,-3.2171499857,9.6382894328,0.2775674216,154
79964,193164,245038,-3.2171499857,9.6382894328,0.2775674216,155
79972,193145,245053,-3.2171499857,9.6382894328,0.2775674216,156
80021,193170,245079,-3.3487552287,9.5449693514,0.28953153460000003,157
79997,193145,245049,-3.290131075,9.620343263299999,0.2560320182,158
80087,193158,245068,-3.2446674455999998,9.598807859899999,0.24885355039999998,159
80097,193185,245036,-3.3930224468000003,9.4265246327,0.24167508259999998,160
80119,193134,245001,-3.3200413575,9.6969135865,0.34097722049999996,161
80102,193102,245043,-3.290131075,9.5688975774,0.2297109696,162
80100,192997,244977,-3.2925238975999997,9.6167540294,0.34097722049999996,163
80137,193108,245014,-3.3320054705,9.5736832226,0.2177468566,164
80176,193146,245016,-3.3499516399999996,9.6155576181,0.23688943739999999,165
80216,193124,245007,-3.3164521235999995,9.646664311899999,0.2775674216,166
80266,193095,244998,-3.3164521235999995,9.646664311899999,0.2775674216,167
80281,193155,245018,-3.3164521235999995,9.646664311899999,0.2775674216,168
80325,193141,244975,-3.3164521235999995,9.646664311899999,0.2775674216,169
80365,193157,244977,-3.3164521235999995,9.646664311899999,0.2775674216,170
80388,193166,244972,-3.3164521235999995,9.646664311899999,0.2775674216,171
80425,193164,244981,-3.3164521235999995,9.646664311899999,0.2775674216,172
80468,193174,244939,-3.3164521235999995,9.646664311899999,0.2775674216,173
80509,193186,244986,-3.3164521235999995,9.646664311899999,0.2775674216,174
80546,193159,245023,-3.3164521235999995,9.646664311899999,0.2775674216,175
80579,193185,244968,-3.3164521235999995,9.646664311899999,0.2775674216,176
80575,193155,244979,-3.3164521235999995,9.646664311899999,0.2775674216,177
80422,193157,244971,-3.3164521235999995,9.646664311899999,0.2775674216,178
80235,193176,244983,-3.3164521235999995,9.646664311899999,0.2775674216,179
80087,193148,244997,-3.3164521235999995,9.646664311899999,0.2775674216,180
80018,193144,245003,-3.3164521235999995,9.646664311899999,0.2775674216,181
80016,193161,245008,-3.3164521235999995,9.646664311899999,0.2775674216,182
80020,193124,245060,-3.3164521235999995,9.646664311899999,0.2775674216,183
80066,193120,245026,-3.3164521235999995,9.646664311899999,0.2775674216,184
80107,193131,244989,-3.3164521235999995,9.646664311899999,0.2775674216,185
80123,193136,244997,-3.3164521235999995,9.646664311899999,0.2775674216,186
80111,193110,244995,-3.3164521235999995,9.646664311899999,0.2775674216,187
80104,193094,245023,-3.3164521235999995,9.646664311899999,0.2775674216,188
80125,193090,245046,-3.3164521235999995,9.646664311899999,0.2775674216,189
80144,193091,245057,-3.3164521235999995,9.646664311899999,0.2775674216,190
80158,193128,245011,-3.3164521235999995,9.646664311899999,0.2775674216,191
80209,193098,245030,-3.3164521235999995,9.646664311899999,0.2775674216,192
80240,193087,244973,-3.3164521235999995,9.646664311899999,0.2775674216,193
80260,193104,244992,-3.3164521235999995,9.646664311899999,0.2775674216,194
80300,193113,244983,-3.3164521235999995,9.646664311899999,0.2775674216,195
80327,193125,244952,-3.3164521235999995,9.646664311899999,0.2775674216,196
80357,193143,244963,-3.3164521235999995,9.646664311899999,0.2775674216,197
80409,193137,244913,-3.3164521235999995,9.646664311899999,0.2775674216,198
80422,193145,244945,-3.3164521235999995,9.646664311899999,0.2775674216,199
80476,193117,244900,-3.3164521235999995,9.646664311899999,0.2775674216,200
80486,193127,244932,-3.3164521235999995,9.646664311899999,0.2775674216,201
80514,193132,244942,-3.3164521235999995,9.646664311899999,0.2775674216,202
80551,193169,244933,-3.3164521235999995,9.646664311899999,0.2775674216,203
80564,193168,244873,-3.3164521235999995,9.646664311899999,0.2775674216,204
80487,193124,244918,-3.3164521235999995,9.646664311899999,0.2775674216,205
80319,193145,244908,-3.3164521235999995,9.646664311899999,0.2775674216,206
80124,193094,244937,-3.3164521235999995,9.646664311899999,0.2775674216,207
80185,193079,244942,-3.2398818003999996,9.6275217311,0.2763710103,208
80213,193092,244896,-3.2398818003999996,9.6275217311,0.2763710103,209
80245,193099,244864,-3.2398818003999996,9.6275217311,0.2763710103,210
80261,193117,244868,-3.2398818003999996,9.6275217311,0.2763710103,211
80292,193126,244774,-3.2398818003999996,9.6275217311,0.2763710103,212
