green,red,IR,acc_x,acc_y,acc_z,sample_index
98981,167933,228404,1.7001004573,-1.2669995667,-9.667003304,1
99256,167980,228389,1.7754743692000001,-1.1389835576,-9.6442714893,2
99458,168040,228397,1.7180466268,-1.1916256548,-9.6717889492,3
99600,167998,228370,1.8281164664,-1.0552347666,-9.634700198900001,4
99631,168014,228401,1.698904046,-1.1497512593,-9.7052884656,5
99762,168013,228411,1.6941184008,-1.2299108163999999,-9.633503787599999,6
99903,168020,228385,1.842473402,-1.1114660977,-9.6945207639,7
100000,168043,228438,1.6187444889,-1.220339526,-9.6825566509,8
100160,168055,228411,1.8604195715,-1.2765708571,-9.6622176588,9
100378,168069,228476,1.8269200550999998,-1.2957134379000002,-9.7292166916,10
100544,168116,228428,1.8233308212,-1.220339526,-9.714859756,11
100705,168156,228453,1.8376877568,-1.2299108163999999,-9.6957171752,12
100844,168187,228490,1.818545176,-1.1533404932,-9.6813602396,13
101047,168219,228520,1.7575281996999998,-1.1258230332999999,-9.6957171752,14
101164,168236,228530,1.7898313048,-1.1054840412,-9.5581298757,15
100912,168186,228500,1.722832272,-1.2717852119000002,-9.69093153,16
100217,168096,228428,1.9465611851,-1.244267752,-9.620343263299999,17
99565,168011,228445,1.8699908619,-1.2777672683999999,-9.687342296099999,18
99227,167950,228331,1.842473402,-1.1964113,-9.7902336679,19
99076,167892,228383,1.7563317884,-1.2490533972,-9.667003304,20
99118,167903,228336,1.8951154991999999,-1.2825529136,-9.767501853199999,21
99311,167888,228356,1.7515461432000001,-1.1533404932,-9.710074110799999,22
99569,167954,228352,1.8364913454999998,-1.2299108163999999,-9.6861458848,23
99767,167952,228311,1.9609181207,-1.1868400096,-9.6813602396,24
99890,167938,228359,1.7096717476999999,-1.2155538808,-9.6813602396,25
99937,167960,228337,1.7862420709,-1.2634103328,-9.7136633447,26
100055,167980,228342,1.8711872732,-1.1976077113,-9.7052884656,27
100182,168002,228351,1.722832272,-1.1676974288,-9.7435736272,28
100322,168021,228387,1.8855442087999998,-1.2909277927,-9.7052884656,29
100465,168028,228386,1.8951154991999999,-1.2251251712,-9.643075077999999,30
100624,168063,228376,1.8939190879,-1.1772687192,-9.6861458848,31
100785,168099,228432,1.8472590472,-1.2634103328,-9.738787982,32
100966,168155,228452,1.7838492483,-1.2394821068,-9.700502820399999,33
101120,168169,228539,1.7563317884,-1.244267752,-9.8093762487,34
101293,168240,228564,1.8520446924,-1.3591232368,-9.6622176588,35
101353,168248,228463,1.8652052167000002,-1.3256237203999999,-9.643075077999999,36
100957,168173,228510,1.7850456596,-1.2681959779999998,-9.5916293921,37
100161,168070,228454,1.8532411037,-1.1868400096,-9.7483592724,38
99542,167974,228365,1.7850456596,-1.2717852119000002,-9.6765745944,39
99331,167937,228388,1.8269200550999998,-1.2155538808,-9.6861458848,40
99247,167922,228365,1.9513468303000001,-1.1736794853,-9.5916293921,41
99368,167905,228330,1.7802600144,-1.1497512593,-9.6861458848,42
99586,167928,228337,1.7850456596,-1.1629117836,-9.6957171752,43
99857,167939,228392,1.9046867896,-1.0540383553,-9.6155576181,44
99970,167964,228392,1.6893327556000002,-1.1593225497000001,-9.6059863277,45
100078,167962,228352,1.8556339263000001,-1.2346964616,-9.6059863277,46
100150,167935,228352,1.8233308212,-1.1736794853,-9.6155576181,47
100247,167968,228377,1.8891334427000002,-1.1832507757,-9.7340023368,48
100395,167997,228405,1.9369898947,-1.2538390423999999,-9.6813602396,49
100554,167991,228387,1.8041882404,-1.2634103328,-9.714859756,50
100673,168041,228437,1.5768700934,-1.3112667848,-9.6622176588,51
100841,168052,228483,1.8137595308,-1.2346964616,-9.8249295956,52
101034,168098,228448,1.8556339263000001,-1.0827522265,-9.6155576181,53
101169,168125,228452,1.8975083218,-1.172483074,-9.69093153,54
