green,red,IR,acc_x,acc_y,acc_z,sample_index
116499,234575,304182,0.4211367776,-4.6648076587,8.7912302324,1
116798,234594,304233,0.4594219392,-4.522434714,8.8343010392,2
116984,234629,304232,0.43429730190000004,-4.527220359199999,8.8582292652,3
117220,234658,304266,0.33858439789999994,-4.618147618,8.9288175319,4
117465,234679,304252,0.4881358104,-4.5092741897,8.7960158776,5
117709,234688,304265,0.4749752861,-4.5738803999,8.8008015228,6
117932,234756,304292,0.33499516399999996,-4.5499521739,8.8582292652,7
118157,234741,304304,0.4295116567,-4.5320060043999995,8.805587167999999,8
118391,234772,304266,0.5060819799,-4.4841495524,8.9862452743,9
118613,234794,304291,0.34456645439999994,-4.474578262,8.9192462415,10
118804,234810,304309,0.40319060809999996,-4.5260239479,8.9383888223,11
119019,234820,304318,0.287138712,-4.4901316089,8.7864445872,12
119210,234851,304346,0.4211367776,-4.5320060043999995,8.901300072,13
118988,234793,304353,0.4534398827,-4.5032921331999995,8.872586200799999,14
118045,234553,304178,0.3218346397,-4.4937208428,8.9682991048,15
117133,234409,304097,0.3744767369,-4.3896330597,8.9096749511,16
116722,234381,304074,0.430708068,-4.450650036,8.901300072,17
116537,234424,304111,0.5300102059,-4.3800617693,8.8247297488,18
116507,234360,304082,0.3493520996,-4.4662033829,8.829515394,19
116658,234428,304129,0.4582255279,-4.5595234643,8.8630149104,20
116913,234409,304122,0.4019941968,-4.5080777784,8.939585233599999,21
117094,234456,304176,0.44985064880000003,-4.5020957219,8.9060857172,22
117195,234446,304080,0.34097722049999996,-4.474578262,8.8582292652,23
117285,234411,304147,0.4725824635,-4.465006971599999,8.944370878800001,24
117381,234452,304114,0.35413774480000004,-4.4075792292,8.8618184991,25
117537,234452,304150,0.4761716974,-4.3704904789,8.8582292652,26
117666,234498,304123,0.2967100024,-4.3178483817,8.8343010392,27
117833,234518,304191,0.42592242280000003,-4.4374895117,8.7589271273,28
117993,234557,304165,0.47377887479999997,-4.3884366484,8.8666041443,29
118216,234534,304176,0.430708068,-4.4458643908,8.9671026935,30
118396,234579,304210,0.430708068,-4.5176490688,8.720641965699999,31
118541,234627,304224,0.44386859230000003,-4.465006971599999,8.877371846,32
118765,234657,304265,0.4689932296,-4.3752761241,8.8713897895,33
118963,234706,304268,0.36370903520000003,-4.5320060043999995,8.9240318867,34
119051,234684,304314,0.4019941968,-4.5846481016,8.8869431364,35
118485,234607,304264,0.39720855159999996,-4.498506487999999,8.805587167999999,36
117685,234470,304098,0.3684946804,-4.4518464473,9.019744790699999,37
117102,234421,304133,0.49651068949999994,-4.5559342304,8.7828553533,38
116803,234367,304152,0.382851616,-4.3417766077,8.9001036607,39
116721,234421,304129,0.4642075844,-4.3836510032,8.8008015228,40
116785,234378,304108,0.4007977855,-4.4614177377,8.9336031771,41
117037,234477,304164,0.5635097223,-4.6707897152,8.8151584584,42
117276,234542,304182,0.5156532703,-4.3884366484,8.8630149104,43
117405,234571,304219,0.3493520996,-4.4087756405,8.9575314031,44
117557,234598,304179,0.42592242280000003,-4.4039899953,8.9108713624,45
117606,234624,304180,0.36011980130000004,-4.6121655615,8.8965144268,46
117766,234650,304260,0.3684946804,-4.5930229807,8.8343010392,47
117929,234610,304230,0.36370903520000003,-4.4171505196,8.8008015228,48
118092,234691,304251,0.35892339,-4.5523449965,8.9479601127,49
118268,234702,304283,0.4402793584,-4.347758664200001,8.9336031771,50
118456,234716,304305,0.4402793584,-4.5810588676999995,8.8678005556,51
118602,234722,304313,0.3924229064,-4.4709890281,8.9288175319,52
118855,234737,304302,0.40319060809999996,-4.5930229807,8.9383888223,53
118986,234776,304314,0.34456645439999994,-4.54636294,8.8630149104,54
119188,234822,304357,0.48693939909999995,-4.4410787456,8.8678005556,55
119148,234748,304312,0.4103690759,-4.5128634236,8.7924266437,56
118359,234624,304209,0.34456645439999994,-4.4602213264,8.8247297488,57
117394,234344,304133,0.3122633493,-4.522434714,8.8965144268,58
116705,234363,304059,0.4247260115,-4.5308095931,8.9288175319,59
116289,234363,304054,0.41156548719999997,-4.462614149,8.9288175319,60
116010,234402,304011,0.40677984199999995,-4.3704904789,8.805587167999999,61
115948,234351,304046,0.36370903520000003,-4.5882373355,8.9048893059,62
116122,234393,304089,0.5252245607,-4.5511485852,8.8666041443,63
116386,234421,304064,0.5443671415,-4.4662033829,8.8618184991,64
116511,234519,304093,0.5108676251000001,-4.570291166,8.877371846,65
116609,234482,304130,0.5527420206,-4.4793639072,8.8486579748,66
116716,234523,304122,0.5922235935,-4.5499521739,8.9539421692,67
116872,234469,304127,0.4462614149,-4.4470608021,8.8821574912,68
117080,234527,304119,0.47736810869999996,-4.5068813671,8.7684984177,69
117233,234666,304171,0.33140593009999997,-4.3525443094,8.819944103600001,70
117447,234596,304169,0.30747770409999997,-4.5236311253,8.8450687409,71
117676,234653,304208,0.3684946804,-4.498506487999999,8.8570328539,72
117888,234675,304296,0.35892339,-4.498506487999999,8.7876409985,73
118135,234708,304294,0.5072783912000001,-4.4841495524,8.9156570076,74
118299,234791,304308,0.34097722049999996,-4.527220359199999,8.8486579748,75
118540,234733,304249,0.48335016519999996,-4.5188454800999995,8.9001036607,76
118753,234790,304259,0.47377887479999997,-4.4374895117,8.901300072,77
118960,234791,304291,0.4486542375,-4.4937208428,8.8630149104,78
119157,234824,304328,0.49172504429999997,-4.3764725354000005,8.829515394,79
