green,red,IR,acc_x,acc_y,acc_z,sample_index
68074,143144,201359,-0.7202396026000001,9.9732845968,-1.3698909385,1
68175,143151,201329,-0.6041877065,9.894321451,-1.4380863826,2
68238,143137,201293,-0.8518448456000001,10.022337460100001,-1.3914263419,3
68195,143096,201242,-0.7944171031999999,10.0031948793,-1.4380863826,4
68183,143083,201171,-0.8231309743999999,9.9134640318,-1.4536397294999999,5
68215,143046,201097,-0.7118647235000001,9.923035322199999,-1.4703894876999999,6
68320,143006,201006,-0.7202396026000001,9.9134640318,-1.4536397294999999,7
68356,142922,200957,-0.7118647235000001,9.9014999188,-1.4428720278,8
68468,142898,200871,-0.705882667,9.9074819753,-1.4093725114000002,9
68565,142883,200820,-0.7322037156,10.0055877019,-1.3459627125,10
68605,142863,200768,-0.6855436748999999,9.7567341515,-1.3974083984,11
68744,142880,200786,-0.7046862557000001,9.8297152408,-1.4428720278,12
68839,142879,200721,-0.8123632727,9.964909717700001,-1.3794622289,13
68937,142834,200658,-0.8123632727,9.9601240725,-1.4380863826,14
69011,142825,200611,-0.8781658942,9.7974121357,-1.3148560187,15
68782,142757,200552,-0.8817551281,9.870393225,-1.4380863826,16
68007,142701,200417,-0.6975077879,9.9601240725,-1.3710873497999998,17
67275,142673,200385,-0.8159525066,10.0654082669,-1.4584253747,18
66919,142583,200330,-0.7262216591,10.0235338714,-1.3806586402,19
66667,142661,200262,-0.6831508522999999,9.923035322199999,-1.4787643668000001,20
66481,142667,200232,-0.7082754896000001,9.9481599595,-1.4476576730000001,21
66446,142647,200198,-0.9032905315,9.8859465719,-1.3902299306,22
66589,142661,200161,-0.8578269021,9.9158568544,-1.4943177136999999,23
66690,142634,200098,-0.8673981925,9.9744810081,-1.3531411803,24
66715,142628,200007,-0.729810893,9.9481599595,-1.4333007374,25
66732,142627,199960,-0.6831508522999999,9.894321451,-1.3543375915999998,26
66790,142658,199917,-0.8362914987,9.7830552001,-1.3818550514999999,27
66893,142651,199915,-0.861416136,9.923035322199999,-1.4045868662,28
67061,142640,199893,-0.8470592004,9.909874797899999,-1.3387842447,29
67241,142641,199801,-0.6568298037,9.964909717700001,-1.4871392459,30
67347,142625,199798,-0.8350950873999999,9.978070242000001,-1.3435698899,31
67465,142619,199709,-0.6879364975,9.9086783866,-1.4524433182,32
67594,142630,199691,-0.6568298037,9.8356972973,-1.3674981159,33
67738,142624,199701,-0.6819544409999999,10.0474620974,-1.4141581566,34
67812,142623,199631,-0.8183453291999999,9.978070242000001,-1.4021940436,35
67531,142610,199613,-0.753739119,9.8356972973,-1.387837108,36
66742,142584,199525,-0.7190431913,9.7663054419,-1.4488540843,37
66164,142581,199462,-0.7429714173,9.9828558872,-1.387837108,38
65865,142573,199445,-0.7513462964000001,9.8500542329,-1.4524433182,39
65683,142549,199306,-0.7561319416,9.9469635482,-1.4668002538,40
65576,142550,199308,-0.7585247642,9.911071209200001,-1.4069796888000001,41
65691,142553,199329,-0.6544369810999999,9.8069834261,-1.4572289634,42
65874,142550,199271,-0.6460621019999999,9.9840522985,-1.3459627125,43
65992,142514,199243,-0.7130611348,9.8967142736,-1.3950155758,44
66055,142570,199210,-0.8697910151,9.888339394499999,-1.3363914221,45
66162,142572,199205,-0.7441678286,9.8273224182,-1.4380863826,46
66327,142623,199170,-0.7357929495000001,9.999605645399999,-1.2693923893,47
66503,142623,199206,-0.8925228298,9.858429112,-1.3830514628000001,48
66744,142606,199092,-0.7800601676,9.9828558872,-1.4213366244,49
66908,142581,199028,-0.7884350467,9.9158568544,-1.387837108,50
67155,142598,199007,-0.9595218625999999,9.8955178623,-1.3651052933,51
67290,142631,199030,-0.8697910151,9.8428757651,-1.3555340029,52
67472,142667,198999,-0.6807580296999999,9.870393225,-1.4739787216,53
67658,142695,199055,-0.7226324252,9.9158568544,-1.4632110199,54
67837,142683,199001,-0.8303094421999999,9.9206424996,-1.4883356572,55
68003,142652,198961,-0.5910271822000001,9.8859465719,-1.3196416639,56
68236,142648,198926,-0.8458627891,9.7567341515,-1.4476576730000001,57
68244,142609,198891,-0.6472585133,9.906285564,-1.4859428346,58
67755,142619,198817,-0.7334001269,9.811769071299999,-1.4524433182,59
67010,142668,198858,-0.8362914987,9.9565348386,-1.351944769,60
66679,142707,198781,-0.8410771438999999,9.750752095,-1.3435698899,61
66627,142708,198834,-0.8817551281,9.8847501606,-1.495514125,62
66636,142673,198773,-0.7334001269,9.8847501606,-1.3854442854000002,63
66713,142690,198740,-0.8374879099999999,9.8249295956,-1.3651052933,64
66947,142672,198697,-0.8039883936,9.9816594759,-1.3579268255,65
67181,142663,198643,-0.7621139981,9.9349994352,-1.4644074312,66
67237,142703,198684,-0.8255237969999999,10.0008020567,-1.3890335193,67
67327,142716,198697,-0.765703232,9.8871429832,-1.3363914221,68
67442,142750,198711,-0.8721838377000001,9.976873830699999,-1.3806586402,69
67618,142765,198743,-0.8530412569000001,9.9206424996,-1.3710873497999998,70
67950,142749,198669,-0.9188438784,9.7818587888,-1.3950155758,71
68142,142726,198634,-0.7202396026000001,9.9936235889,-1.3854442854000002,72
68375,142703,198630,-0.8099704500999999,9.906285564,-1.4847464232999998,73
68583,142732,198631,-0.8159525066,9.8512506442,-1.3842478741,74
68694,142738,198606,-0.7429714173,9.857232700700001,-1.4045868662,75
68971,142780,198643,-0.7429714173,9.8799645154,-1.3974083984,76
69185,142808,198634,-0.9008977089,9.9038927414,-1.4380863826,77
69454,142844,198649,-0.777667345,10.0067841132,-1.4285150922,78
69697,142873,198690,-0.8781658942,9.8979106849,-1.4261222696,79
69664,142814,198620,-0.7142575461,9.9445707256,-1.43569356,80
69091,142778,198536,-0.933200814,9.8751788702,-1.3974083984,81
68615,142800,198518,-0.8303094421999999,9.8991070962,-1.3842478741,82
68458,142792,198513,-0.7214360139,9.858429112,-1.4285150922,83
68443,142770,198457,-0.8123632727,9.821340361699999,-1.3268201317000001,84
68428,142721,198398,-0.8817551281,9.9086783866,-1.3734801723999999,85
68588,142674,198364,-0.7920242806,9.9050891527,-1.4500504956,86
68741,142657,198299,-0.8913264185,9.9409814917,-1.4261222696,87
68734,142624,198272,-0.9056833541,9.8979106849,-1.4021940436,88
68820,142671,198311,-0.9535398061,9.9314102013,-1.4309079148000001,89
68903,142697,198347,-0.8781658942,9.9278209674,-1.3172488413,90
69070,142715,198282,-0.8985048863,9.7890372566,-1.4309079148000001,91
69254,142704,198295,-0.9726823869,9.8871429832,-1.3124631961,92
69428,142633,198227,-0.7800601676,9.8871429832,-1.3746765837,93
69629,142638,198124,-0.8506484343,9.9122676205,-1.4871392459,94
69801,142621,198171,-0.765703232,9.936195846499999,-1.4141581566,95
69967,142662,198169,-0.8087740388,9.8847501606,-1.4811571894,96
70198,142685,198176,-0.7357929495000001,9.8751788702,-1.4237294470000001,97
70380,142708,198158,-0.861416136,9.846464999,-1.2909277927,98
70567,142697,198142,-0.6987041992,9.8907322171,-1.4189438018,99
70694,142654,198065,-0.8075776275,9.8991070962,-1.4476576730000001,100
70317,142631,198047,-0.6173482308,10.022337460100001,-1.4309079148000001,101
69764,142622,198043,-0.8075776275,9.8380901199,-1.4009976323,102
69445,142677,198040,-1.0157531937,9.8847501606,-1.3064811396,103
69286,142675,198023,-0.7429714173,9.9050891527,-1.4141581566,104
69234,142631,198010,-0.7597211755,9.8680004024,-1.4213366244,105
69210,142647,198018,-0.741775006,9.978070242000001,-1.4775679554999999,106
69381,142643,197989,-0.765703232,9.954142016,-1.3950155758,107
69567,142607,197930,-0.7585247642,9.8763752815,-1.4428720278,108
69708,142606,197932,-0.7704888772,9.870393225,-1.4560325521,109
69739,142587,197822,-0.7501498851,9.8632147572,-1.4105689227,110
69881,142597,197864,-0.9224331123,9.955338427300001,-1.4045868662,111
69966,142617,197859,-0.8841479507000001,9.9014999188,-1.4189438018,112
70183,142607,197850,-0.7704888772,9.9266245561,-1.3806586402,113
70427,142559,197794,-0.7609175868,9.918249677,-1.4249258583,114
70585,142524,197766,-0.8829515394,9.812965482600001,-1.4883356572,115
70756,142499,197759,-0.9164510558,9.8488578216,-1.3734801723999999,116
70941,142522,197702,-0.6556333924,9.865607579799999,-1.3830514628000001,117
71112,142522,197656,-0.8578269021,9.7734839097,-1.4333007374,118
71285,142499,197652,-0.8530412569000001,9.942177903,-1.4093725114000002,119
71371,142505,197641,-0.777667345,9.7495556837,-1.4045868662,120
71647,142479,197605,-0.7692924659,9.812965482600001,-1.5002997702,121
71733,142460,197568,-0.7680960546,9.906285564,-1.351944769,122
71888,142420,197525,-0.7573283529,9.8608219346,-1.3698909385,123
71952,142413,197483,-0.8685946038000001,9.966106129,-1.4476576730000001,124
72124,142380,197477,-0.8350950873999999,9.9074819753,-1.4249258583,125
71771,142375,197443,-0.849452023,9.834500886,-1.3842478741,126
71120,142440,197487,-0.9559326287,9.9601240725,-1.4309079148000001,127
70702,142526,197573,-0.9116654106,9.9038927414,-1.3028919057000001,128
70478,142546,197585,-0.7022934331,9.8668039911,-1.3998012210000002,129
70245,142565,197564,-0.801595571,9.999605645399999,-1.4309079148000001,130
70197,142524,197503,-0.8458627891,9.9493563708,-1.4416756165,131
70268,142542,197524,-0.6975077879,9.9086783866,-1.3710873497999998,132
70414,142509,197498,-0.7944171031999999,9.9397850804,-1.3782658175999998,133
70496,142521,197444,-0.7824529901999999,9.8249295956,-1.3854442854000002,134
70518,142472,197354,-0.7465606512,9.8739824589,-1.4189438018,135
70548,142479,197391,-0.7345965382,10.0319087505,-1.4404792052000002,136
70667,142547,197417,-0.7860422241,9.853643466800001,-1.4285150922,137
70816,142491,197382,-0.7334001269,9.9565348386,-1.4572289634,138
70972,142542,197388,-0.8063812161999999,9.9038927414,-1.375872995,139
71127,142507,197333,-0.7764709337,9.8931250397,-1.3842478741,140
71281,142498,197301,-0.8255237969999999,10.0235338714,-1.2179467034,141
71409,142488,197268,-0.7645068207,9.9816594759,-1.3950155758,142
71520,142461,197234,-0.7752745223999999,10.0115697584,-1.3435698899,143
71655,142464,197256,-0.8338986760999999,9.9493563708,-1.3531411803,144
71790,142454,197225,-0.8362914987,9.8955178623,-1.4991033588999998,145
71919,142430,197171,-0.9164510558,10.143175001400001,-1.3914263419,146
72058,142415,197145,-0.7477570625,9.738787982,-1.5098710606,147
72189,142413,197077,-0.7405785947,9.9003035075,-1.4105689227,148
72321,142340,197074,-0.7932206919,9.9613204838,-1.3854442854000002,149
72478,142376,197082,-0.9379864592,9.9840522985,-1.3507483577,150
72625,142365,197053,-0.9032905315,9.923035322199999,-1.4452648504,151
72719,142350,197001,-0.7968099258,9.9840522985,-1.3363914221,152
72845,142359,196983,-0.6412764568,9.9038927414,-1.4189438018,153
72945,142382,196996,-0.7884350467,9.8069834261,-1.3938191645,154
72731,142370,196961,-0.9032905315,9.980463064599999,-1.3531411803,155
72064,142424,196981,-0.9032905315,9.980463064599999,-1.3531411803,156
71525,142523,197062,-0.9032905315,9.980463064599999,-1.3531411803,157
71261,142564,197135,-0.9032905315,9.980463064599999,-1.3531411803,158
71083,142593,197115,-0.9032905315,9.980463064599999,-1.3531411803,159
70976,142590,197090,-0.9032905315,9.980463064599999,-1.3531411803,160
70971,142548,197045,-0.9032905315,9.980463064599999,-1.3531411803,161
71030,142537,197035,-0.9032905315,9.980463064599999,-1.3531411803,162
71004,142545,197008,-0.9032905315,9.980463064599999,-1.3531411803,163
70976,142549,197002,-0.9032905315,9.980463064599999,-1.3531411803,164
70957,142581,196966,-0.9032905315,9.980463064599999,-1.3531411803,165
70994,142579,196956,-0.9032905315,9.980463064599999,-1.3531411803,166
71049,142582,197021,-0.9032905315,9.980463064599999,-1.3531411803,167
71094,142587,196979,-0.9032905315,9.980463064599999,-1.3531411803,168
71158,142554,196882,-0.9032905315,9.980463064599999,-1.3531411803,169
71215,142477,196838,-0.9032905315,9.980463064599999,-1.3531411803,170
71230,142418,196786,-0.9032905315,9.980463064599999,-1.3531411803,171
71245,142431,196781,-0.9032905315,9.980463064599999,-1.3531411803,172
71281,142467,196803,-0.9032905315,9.980463064599999,-1.3531411803,173
71331,142559,196892,-0.9032905315,9.980463064599999,-1.3531411803,174
71372,142583,196894,-0.9032905315,9.980463064599999,-1.3531411803,175
