green,red,IR,acc_x,acc_y,acc_z,sample_index
76164,176064,238944,1.9190437251999999,4.9076791526,8.2971123655,1
76363,175992,238982,1.9836499354,4.9220360882000005,8.1200434931,2
76907,176154,239066,1.8951154991999999,4.773681087,8.3880396243,3
77700,176356,239119,1.9238293703999998,4.8155554825,8.2827554299,4
78568,176597,239313,1.9776678789,4.797609313,8.3545401079,5
79249,176831,239357,1.8640088054,4.8729832249000005,8.3665042209,6
79633,176904,239489,1.8879370314,4.7688954418,8.2025958728,7
79751,176945,239497,1.9238293703999998,4.9112683865,8.2121671632,8
79851,176980,239526,1.9238293703999998,4.8418765311,8.262416437799999,9
80023,177017,239572,1.9764714676,4.8023949582,8.2420774457,10
80309,177061,239641,1.8843477975,4.8346980633,8.2145599858,11
80689,177197,239734,1.7240286833,4.8670011684,8.2337025666,12
81076,177241,239775,2.0147566292,4.7832523774,8.204988695399999,13
81476,177387,239826,1.8508482811000002,4.7760739096,8.1846497033,14
81882,177476,239893,1.9848463467,4.9842494758,8.2588272039,15
82303,177587,239971,1.9286150156,4.7952164904,8.195417404999999,16
82707,177636,239979,1.9728822337,4.8873401605,8.2839518412,17
83106,177733,240107,1.9094724347999998,4.788038022599999,8.2959159542,18
83533,177877,240120,1.9597217094,4.8562334667,8.236095389199999,19
83937,177970,240188,2.0805592507,4.7904308452,8.3114693011,20
84315,178013,240225,1.9286150156,4.8119662486,8.2480595022,21
84665,178151,240298,2.2109680824,4.7581277401,8.1894353485,22
84918,178147,240265,1.8843477975,4.8598227006,8.2384882118,23
83950,177941,240164,1.8113667082,4.9232324995,8.236095389199999,24
80770,177248,239810,1.9202401365000001,4.8945186283,8.3042908333,25
77521,176390,239230,1.9034903783000001,4.8358944746,8.1786676468,26
75779,175832,238871,1.9800607015,4.7533420949,8.1942209937,27
75387,175632,238782,1.8101702968999998,4.8215375389999995,8.243273857,28
75687,175721,238830,1.8281164664,4.878965281399999,8.262416437799999,29
76299,175823,238898,1.9704894111,4.7449672158,8.2002030502,30
77146,176096,239061,2.0291135648000003,4.8957150396,8.2995051881,31
77975,176284,239206,1.8640088054,4.9435714916,8.2097743406,32
78564,176486,239305,1.8927226765999998,4.8215375389999995,8.267202082999999,33
78825,176578,239374,1.818545176,4.8406801198,8.231309744,34
78910,176583,239383,1.8376877568,4.9076791526,8.2169528084,35
78977,176528,239431,1.8675980393,4.9734817741,8.252845147399999,36
79141,176682,239474,1.8101702968999998,4.9399822577,8.3342011158,37
79426,176736,239480,1.9214365478,4.9112683865,8.2959159542,38
79767,176795,239595,1.9226329591,4.7952164904,8.2037922841,39
80142,176886,239600,1.9920248145,4.7569313288,8.2456666796,40
80546,176990,239730,1.9022939669999999,4.797609313,8.2468630909,41
80901,177083,239789,1.8927226765999998,4.7724846757,8.2683984943,42
81327,177207,239837,1.9190437251999999,4.8777688701,8.219345631,43
81743,177306,239888,1.9118652574,4.7724846757,8.207381518,44
82163,177455,239990,1.9896319919,4.9064827413000005,8.3449688175,45
82581,177539,240090,1.9752750562999999,4.8251267729,8.231309744,46
82952,177601,240142,1.9130616687,4.8358944746,8.3425759949,47
83326,177702,240188,1.998006871,4.7856452,8.3318082932,48
83597,177821,240158,2.0183458631,4.7784667322,8.2983087768,49
82739,177558,240046,1.8352949342,4.8921258057,8.2337025666,50
79583,176861,239587,1.8939190879,4.8191447164,8.267202082999999,51
76301,175973,239052,1.9585252981,4.8239303616,8.2851482525,52
74545,175384,238710,1.9537396529,4.7904308452,8.3186477689,53
74156,175170,238574,2.0267207422,4.8622155232,8.3425759949,54
74428,175184,238597,1.9752750562999999,4.9016970961,8.2923267203,55
75017,175347,238685,1.7982061838999999,4.6923251185999995,8.279166196,56
75845,175596,238848,1.8173487647,4.8598227006,8.3007015994,57
76775,175852,238958,1.9441683625,4.8119662486,8.2839518412,58
77510,176035,239136,1.9549360641999998,4.8957150396,8.207381518,59
77961,176248,239191,1.9645073545999998,4.8023949582,8.226524098799999,60
78118,176250,239269,1.8101702968999998,4.8358944746,8.2289169214,61
78217,176261,239228,1.9190437251999999,4.8909293944,8.1463645417,62
78401,176289,239250,2.0494525569,4.8897329831,8.3102728898,63
78691,176350,239313,1.8520446924,4.845465765,8.3054872446,64
79050,176466,239383,1.8544375149999999,4.8023949582,8.2576307926,65
79427,176569,239438,1.9788642901999998,4.7353959254,8.1978102276,66
79810,176675,239534,1.9310078382,4.7952164904,8.3210405915,67
80201,176788,239560,1.9262221929999999,4.6672004813,8.2241312762,68
80620,176817,239700,1.9298114269,4.941178669,8.2444702683,69
81055,176956,239712,1.9752750562999999,4.8478585876,8.2025958728,70
81469,177104,239789,1.9609181207,4.8239303616,8.1774712355,71
81904,177165,239823,2.0207386857,4.878965281399999,8.1810604694,72
82303,177256,239899,1.7886348934999998,4.9005006848,8.25523797,73
82708,177364,239888,1.998006871,4.8514478215,8.2145599858,74
83079,177451,240001,1.8388841681,4.9184468543,8.2887374864,75
