green,red,IR,acc_x,acc_y,acc_z,sample_index
98628,186904,238534,4.7222354011,-8.7433737804,2.3796620756999998,1
98815,186910,238499,4.734199514099999,-8.774480474199999,2.2995025186,2
98926,186903,238548,4.7306102802,-8.5471623272,2.2277178406,3
99018,186924,238577,4.6468614892,-8.7266240222,2.344966148,4
99077,186976,238577,4.6731825378,-8.5950187792,2.3258235672,5
99180,186948,238600,4.7760739096,-8.7326060787,2.3724836079,6
99292,186941,238581,4.8406801198,-8.6572321668,2.3533410271,7
99372,186935,238575,4.677968183,-8.605786480899999,2.3653051401,8
99521,186857,238593,4.7569313288,-8.6668034572,2.2947168733999996,9
99682,186932,238577,4.5918265694,-8.6045900696,2.3162522768000002,10
99861,186976,238583,4.713860522,-8.695517328400001,2.2875384056,11
100041,186981,238612,4.6875394734,-8.6249290617,2.2636101795999997,12
100220,186971,238657,4.7186461672,-8.6596249894,2.3940190112999997,13
100366,186965,238647,4.7641097966,-8.6691962798,2.3413769141,14
100417,187024,238629,4.7186461672,-8.654839344200001,2.3545374384,15
100612,187023,238626,4.7868416113,-8.6010008357,2.3928226,16
100743,187029,238578,4.8885365718,-8.5675013193,2.2588245344,17
100496,186999,238624,4.6313081423,-8.5890367227,2.404786713,18
99648,186961,238611,4.6767717716999995,-8.708677852700001,2.3042881638,19
98721,186894,238494,4.7796631435,-8.6512501103,2.2875384056,20
98278,186871,238466,4.8131626599,-8.6644106346,2.344966148,21
98098,186844,238456,4.6360937875,-8.538787448099999,2.27318147,22
98066,186829,238472,4.7473600384,-8.7230347883,2.3736800192,23
98181,186860,238517,4.8346980633,-8.709874264,2.3162522768000002,24
98249,186807,238500,4.5882373355,-8.707481441399999,2.3162522768000002,25
98608,186867,238568,4.6564327796,-8.6249290617,2.3629123174999997,26
98733,186871,238542,4.7629133853,-8.6237326504,2.3282163898,27
98763,186889,238579,4.7700918531,-8.638089586,2.4035903017,28
98884,186897,238601,4.7090748768,-8.5483587385,2.4155544147,29
99024,186920,238591,4.7090748768,-8.5734833758,2.344966148,30
99224,186904,238583,4.7964129017,-8.7445701917,2.2707886474,31
99296,186889,238569,4.7066820542,-8.7026957962,2.3976082452,32
99437,186879,238567,4.637290198800001,-8.6668034572,2.2947168733999996,33
99650,186894,238582,4.6576291909,-8.640482408599999,2.3174486881,34
99837,186930,238615,4.6384866101,-8.6512501103,2.2683958248,35
100016,186940,238665,4.6456650779,-8.636893174699999,2.3473589706,36
100051,186947,238573,4.734199514099999,-8.5818582549,2.2947168733999996,37
100287,186955,238646,4.7952164904,-8.6679998685,2.3401805028,38
100429,186955,238619,4.6755753604,-8.695517328400001,2.4191436486,39
100550,186959,238649,4.9160540317,-8.636893174699999,2.2660030021999997,40
100730,186992,238674,4.8083770147,-8.6895352719,2.368894374,41
100870,186972,238650,4.7258246349999995,-8.7242311996,2.1678972756,42
101042,186998,238638,4.6600220135,-8.6919280945,2.2444675988,43
100637,187042,238615,4.6863430621,-8.6763747476,2.4023938904,44
99757,186943,238540,4.7270210463,-8.695517328400001,2.237289131,45
99001,186945,238509,4.8825545153,-8.5770726097,2.4179472373,46
98722,186901,238523,4.7629133853,-8.6835532154,2.321037922,47
98626,186885,238503,4.6851466508,-8.6931245058,2.27318147,48
98718,186893,238491,4.8227339503,-8.5986080131,2.3653051401,49
98828,186866,238540,4.7066820542,-8.6081793035,2.2911276395,50
99091,186912,238556,4.6875394734,-8.7314096674,2.3330020350000003,51
99255,186881,238539,4.7114676994,-8.5375910368,2.3940190112999997,52
