green,red,IR,acc_x,acc_y,acc_z,sample_index
98394,184968,234737,-6.467799487800001,7.488338326699999,1.6737794087,1
98496,184935,234737,-6.5168523511,7.3663043741,1.6773686425999998,2
98665,184968,234749,-6.5120667059,7.2921268735,1.5720844482,3
98630,184983,234713,-6.5204415849999995,7.310073043,1.6749758199999998,4
98626,184941,234709,-6.412764568,7.4117680035,1.6606188843999998,5
98490,184930,234681,-6.4295143262,7.336394091599999,1.6486547714,6
98472,184903,234735,-6.6364934811000005,7.3316084464,1.567298803,7
98468,184954,234710,-6.4450676731,7.415357237399999,1.6773686425999998,8
98715,184986,234732,-6.4737815442999995,7.2801627605000006,1.7371892076000002,9
98613,185001,234735,-6.502495415499999,7.381857721,1.639083481,10
98705,184982,234731,-6.492924125099999,7.265805824899999,1.6007983194,11
98769,185004,234712,-6.4713887217,7.2562345345,1.5541382787000002,12
98712,184984,234736,-6.5611195692,7.3603223176,1.6175480776,13
99022,185026,234757,-6.451049729599999,7.4500531651,1.6677973521999998,14
99008,184923,234769,-6.4869420686,7.3710900192999995,1.6845471104,15
99061,185089,234784,-6.4438712618,7.3088766317000005,1.6462619487999999,16
99111,185018,234771,-6.4821564234,7.332804857699999,1.6223337227999999,17
99392,185046,234747,-6.4031932776,7.3627151402,1.5984054967999999,18
99345,185027,234746,-6.591029851699999,7.4380890521,1.6271193679999998,19
99327,185012,234775,-6.4594246087,7.377072075799999,1.6199409001999998,20
99427,184963,234691,-6.4139609793000005,7.3986074792,1.6402798923,21
99118,184952,234721,-6.4331035601,7.3292156238,1.5936198516,22
99049,184945,234705,-6.4869420686,7.4991060284,1.6438691261999998,23
98614,184942,234685,-6.6029939646999996,7.4069823583000005,1.6953148121,24
98418,184931,234690,-6.532405698,7.3950182453,1.7192430381,25
98567,184887,234684,-6.6388863037,7.381857721,1.6725829974,26
98418,184960,234656,-6.3541404143,7.3543402611,1.7180466268,27
98255,184872,234692,-6.4857456573,7.3555366724,1.7312071511,28
98150,184957,234651,-6.4247286809999995,7.4500531651,1.6378870697,29
98143,184963,234676,-6.5419769884,7.4644101007,1.5302100526999998,30
98061,184958,234653,-6.544369811,7.4225357052000005,1.6725829974,31
98125,184929,234664,-6.5001025929,7.4452675199,1.6342978358,32
98039,184998,234702,-6.4211394471,7.3830541323,1.5840485612,33
98268,184978,234657,-6.5515482788,7.2957161074000005,1.6725829974,34
98094,184878,234672,-6.4283179149,7.3220371559999995,1.6199409001999998,35
98120,184974,234640,-6.563512391800001,7.3878397775,1.6510475939999998,36
98356,184980,234712,-6.4247286809999995,7.4356962295,1.615155255,37
98309,184875,234693,-6.466603076499999,7.3316084464,1.6773686425999998,38
98284,184998,234661,-6.5647088031,7.4141608261,1.6881363443,39
98454,184963,234696,-6.5108702946,7.3244299786000004,1.6055839645999999,40
98319,184980,234678,-6.544369811,7.307680220399999,1.6725829974,41
98465,184982,234662,-6.5228344076,7.4428746973,1.6917255782,42
98681,184995,234688,-6.4295143262,7.5242306657,1.6737794087,43
98663,185005,234681,-6.5276200528,7.453642399,1.603191142,44
98540,184964,234675,-6.5946190856,7.2957161074000005,1.5888342063999998,45
98600,184979,234653,-6.4331035601,7.4979096170999995,1.6749758199999998,46
98666,184947,234624,-6.562315980499999,7.3124658656,1.6271193679999998,47
98462,184907,234594,-6.4582281974,7.2681986475,1.603191142,48
98269,184812,234606,-6.4881384799,7.4500531651,1.6462619487999999,49
97990,184874,234575,-6.5192451737,7.361518728899999,1.6127624323999998,50
97520,184929,234590,-6.5407805771,7.286144817,1.7647066674999998,51
97872,184980,234615,-6.4402820279,7.4368926408,1.6965112234000002,52
97592,184911,234613,-6.4211394471,7.3280192125,1.6606188843999998,53
97787,184915,234577,-6.617350900300001,7.3316084464,1.6809578765,54
97909,184879,234609,-6.5479590449,7.4380890521,1.6701901747999999,55
97650,184904,234555,-6.4271215036000005,7.3854469549,1.6223337227999999,56
97784,184911,234558,-6.5395841658,7.5074809075,1.5661023917,57
97547,184854,234578,-6.5108702946,7.369893608,1.6247265454,58
97486,184939,234615,-6.6089760212,7.3866433661999995,1.6366906583999998,59
97593,184932,234581,-6.5252272302000005,7.2717878814,1.6402798923,60
97695,184933,234603,-6.5060846494,7.3507510272,1.5457633996,61
97690,184933,234608,-6.464210253899999,7.418946471299999,1.7012968686,62
97797,184954,234643,-6.534798520600001,7.369893608,1.663011707,63
97929,184893,234657,-6.492924125099999,7.3734828419,1.6510475939999998,64
97916,184997,234640,-6.5419769884,7.3627151402,1.6929219895,65
97911,184959,234567,-6.4462640844,7.3316084464,1.6737794087,66
97761,184970,234644,-6.5156559398,7.4452675199,1.6737794087,67
98088,184961,234592,-6.4594246087,7.393821834000001,1.6486547714,68
98282,184961,234647,-6.3613188821,7.4380890521,1.6701901747999999,69
98469,184949,234606,-6.546762633599999,7.4356962295,1.6534404165999999,70
98444,185001,234615,-6.4115681567000005,7.3986074792,1.7240286833,71
98491,184964,234626,-6.652046828,7.488338326699999,1.591227029,72
98507,184928,234601,-6.5048882380999995,7.357929495,1.6881363443,73
98196,184911,234608,-6.492924125099999,7.4668029232999995,1.6809578765,74
98024,184882,234545,-6.5730836822,7.3722864306,1.603191142,75
97789,184866,234567,-6.5587267466,7.2729842927,1.6271193679999998,76
97596,184922,234559,-6.5108702946,7.3890361888,1.6857435217,77
97569,184922,234580,-6.549155456199999,7.3028945752,1.6055839645999999,78
97580,184902,234555,-6.4977097703,7.4380890521,1.6773686425999998,79
97630,184930,234560,-6.3948183985,7.3734828419,1.5290136414,80
97539,184854,234566,-6.496513359000001,7.4452675199,1.722832272,81
97567,184910,234554,-6.4881384799,7.403393124400001,1.531406464,82
97499,184942,234563,-6.4283179149,7.361518728899999,1.7072789251,83
97611,184928,234565,-6.544369811,7.3244299786000004,1.6666009409,84
97639,184928,234535,-6.533602109299999,7.3675007854,1.6366906583999998,85
97681,184929,234595,-6.5611195692,7.4787670363,1.6366906583999998,86
97737,184936,234573,-6.422335858399999,7.3926254227,1.591227029,87
97808,184997,234558,-6.4307107375,7.3734828419,1.5613167465000002,88
97988,184937,234555,-6.3948183985,7.3591259063,1.5936198516,89
98148,184894,234615,-6.5826549726,7.4931239719,1.6522440053,90
98155,184937,234596,-6.4546389635,7.3052873978,1.6079767872,91
98206,184942,234568,-6.4654066652,7.3914290114000005,1.6414763036,92
98146,184957,234592,-6.6209401342000005,7.4763742137,1.4416756165,93
98138,184977,234588,-6.466603076499999,7.3435725594,1.6594224731,94
98305,185000,234591,-6.439085616600001,7.5170521979,1.6127624323999998,95
98437,184965,234569,-6.4701923104,7.3016981639,1.6402798923,96
98557,184897,234550,-6.5874406178,7.4871419154,1.6929219895,97
98144,184970,234549,-6.5060846494,7.5637122386,1.6510475939999998,98
97952,184881,234540,-6.451049729599999,7.4045895357,1.6594224731,99
97773,184900,234552,-6.5862442065,7.3878397775,1.6809578765,100
97776,184862,234571,-6.5730836822,7.377072075799999,1.6271193679999998,101
97573,184888,234558,-6.5192451737,7.390232600099999,1.6905291669,102
97421,184928,234525,-6.6269221907,7.3507510272,1.615155255,103
97641,184911,234546,-6.5730836822,7.3675007854,1.6462619487999999,104
97509,184915,234540,-6.4151573906,7.345965381999999,1.591227029,105
97624,184880,234562,-6.5611195692,7.3794648984,1.6905291669,106
97665,184938,234587,-6.4761743669,7.3016981639,1.5768700934,107
97594,184913,234564,-6.4905313025,7.4356962295,1.6857435217,108
97671,184897,234566,-6.5778693274,7.3603223176,1.5960126741999998,109
97680,184920,234592,-6.5647088031,7.3052873978,1.5481562222,110
97676,184934,234584,-6.5659052144,7.3160550995,1.7001004573,111
97731,184930,234586,-6.521637996299999,7.4392854634,1.5936198516,112
97920,184883,234599,-6.4977097703,7.4500531651,1.6606188843999998,113
97956,184993,234564,-6.4749779556,7.430910584299999,1.6534404165999999,114
98113,184962,234585,-6.549155456199999,7.357929495,1.639083481,115
98046,184939,234559,-6.4941205364000005,7.310073043,1.6438691261999998,116
98160,184880,234580,-6.6388863037,7.3866433661999995,1.6869399330000001,117
98397,184960,234602,-6.425925092299999,7.4213392939,1.5768700934,118
98327,184958,234598,-6.6652073523,7.3675007854,1.5840485612,119
98604,184982,234594,-6.3457655352,7.3268228012,1.6773686425999998,120
98598,184944,234552,-6.5228344076,7.390232600099999,1.6522440053,121
98288,184916,234540,-6.4713887217,7.4644101007,1.6271193679999998,122
98120,184813,234558,-6.521637996299999,7.3734828419,1.5649059803999998,123
97955,184884,234507,-6.6197437229,7.2897340509,1.6462619487999999,124
97662,184850,234498,-6.5671016257,7.3411797368,1.5888342063999998,125
97508,184879,234548,-6.448656907,7.4261249391,1.6737794087,126
97391,184881,234533,-6.5611195692,7.319644333399999,1.6462619487999999,127
97397,184904,234554,-6.5036918268,7.349554615900001,1.7024932798999999,128
97333,184921,234583,-6.549155456199999,7.349554615900001,1.5816557385999999,129
97407,184890,234548,-6.508477471999999,7.399803890499999,1.6474583601,130
97408,184916,234547,-6.4450676731,7.3950182453,1.6247265454,131
97424,184882,234567,-6.5001025929,7.505088084900001,1.5840485612,132
97298,184915,234521,-6.5419769884,7.429714173,1.6055839645999999,133
97584,184901,234544,-6.5108702946,7.3866433661999995,1.7324035624,134
97402,184944,234555,-6.4737815442999995,7.3507510272,1.7814564256999998,135
97592,184912,234558,-6.435496382699999,7.3914290114000005,1.6426727149,136
97728,184961,234554,-6.5455662223,7.2993053413,1.6319050132,137
97635,184921,234561,-6.4151573906,7.4644101007,1.6510475939999998,138
97712,184909,234561,-6.5288164641,7.3052873978,1.6869399330000001,139
97906,184957,234600,-6.5419769884,7.460820866800001,1.6785650538999999,140
97880,184947,234599,-6.4737815442999995,7.4333034069,1.6558332392,141
97803,184940,234583,-6.502495415499999,7.447660342499999,1.6737794087,142
98383,184975,234576,-6.480960012100001,7.3148586882,1.5960126741999998,143
98295,184958,234584,-6.6269221907,7.4249285278,1.7084753364,144
98522,184960,234621,-6.534798520600001,7.2837519944,1.5768700934,145
98663,184948,234582,-6.5001025929,7.3627151402,1.6211373115,146
98352,184930,234564,-6.673582231399999,7.4261249391,1.639083481,147
98162,184901,234544,-6.568298037,7.3734828419,1.6893327556000002,148
97918,184806,234490,-6.4235322697,7.4045895357,1.7240286833,149
97823,184864,234534,-6.451049729599999,7.378268487100001,1.6247265454,150
97754,184878,234484,-6.479763600799999,7.390232600099999,1.6785650538999999,151
97614,184887,234514,-6.58026215,7.267002236200001,1.6582260617999998,152
97423,184920,234502,-6.6317078358999995,7.2753771152999995,1.6534404165999999,153
97295,184808,234533,-6.5252272302000005,7.3567330837,1.6977076347,154
97494,184884,234559,-6.5826549726,7.2753771152999995,1.6749758199999998,155
97141,184875,234519,-6.5730836822,7.3316084464,1.7599210223,156
97394,184882,234511,-6.496513359000001,7.3962146566,1.6654045296,157
97414,184883,234560,-6.5958154969,7.4081787696,1.6929219895,158
97483,184887,234545,-6.4414784392,7.4213392939,1.6845471104,159
97477,184905,234540,-6.5395841658,7.4931239719,1.7312071511,160
97535,184886,234550,-6.4630138426,7.3220371559999995,1.7216358607,161
97510,184902,234558,-6.4713887217,7.430910584299999,1.6809578765,162
97735,184901,234503,-6.5120667059,7.363911551499999,1.6199409001999998,163
97832,184905,234520,-6.5551375127,7.336394091599999,1.5625131578,164
97901,184982,234567,-6.7058853365,7.4644101007,1.7144573929,165
97892,184962,234583,-6.5036918268,7.3005017526,1.567298803,166
97963,184924,234614,-6.4043896889,7.430910584299999,1.6929219895,167
98045,185005,234557,-6.4211394471,7.3722864306,1.6618152957,168
98202,184957,234563,-6.6185473116,7.363911551499999,1.7635102562,169
98085,184916,234577,-6.5060846494,7.3555366724,1.6223337227999999,170
98351,184941,234610,-6.4821564234,7.3411797368,1.6462619487999999,171
98096,184904,234542,-6.472585133,7.429714173,1.6259229567,172
98171,184868,234502,-6.5706908596,7.4620172781,1.7072789251,173
97852,184855,234488,-6.607779609900001,7.365107962800001,1.6582260617999998,174
97479,184849,234533,-6.4594246087,7.3387869142,1.5732808595,175
97525,184893,234538,-6.4905313025,7.447660342499999,1.7072789251,176
97708,184909,234531,-6.592226263000001,7.2562345345,1.6893327556000002,177
97543,184900,234531,-6.466603076499999,7.4237321165,1.6677973521999998,178
97635,184881,234534,-6.4618174313,7.4548388103,1.7599210223,179
97491,184866,234494,-6.4414784392,7.3016981639,1.6342978358,180
97537,184918,234526,-6.479763600799999,7.2933232848,1.6773686425999998,181
97536,184883,234480,-6.46062102,7.334001269,1.6761722313,182
97723,184908,234498,-6.4139609793000005,7.3304120351,1.698904046,183
97311,184836,234549,-6.4091753340999995,7.3962146566,1.6103696098,184
97477,184925,234574,-6.4283179149,7.377072075799999,1.6773686425999998,185
97510,184931,234552,-6.4342999714,7.3842505436,1.6319050132,186
97716,184898,234559,-6.4283179149,7.357929495,1.6366906583999998,187
97736,184928,234519,-6.5012990042,7.4763742137,1.6199409001999998,188
97793,184949,234547,-6.4426748505,7.3244299786000004,1.6462619487999999,189
97973,184943,234569,-6.4175502132,7.4524459877,1.6055839645999999,190
97929,184904,234571,-6.5132631172,7.3555366724,1.6797614652,191
98084,184953,234561,-6.563512391800001,7.3675007854,1.5529418674,192
98255,184921,234578,-6.5419769884,7.3675007854,1.6689937635,193
98152,185003,234572,-6.5730836822,7.381857721,1.6139588437,194
98264,184849,234593,-6.5252272302000005,7.317251510799999,1.6486547714,195
98002,184983,234545,-6.4821564234,7.3423761481,1.663011707,196
98059,184860,234519,-6.5730836822,7.3890361888,1.6115660211,197
97737,184882,234524,-6.4426748505,7.3124658656,1.7084753364,198
97845,184851,234483,-6.532405698,7.5314091335,1.5936198516,199
97614,184887,234514,-6.4917277138,7.3890361888,1.6259229567,200
97487,184886,234546,-6.5048882380999995,7.2562345345,1.7216358607,201
97488,184917,234545,-6.4534425522,7.405785946999999,1.5960126741999998,202
97628,184896,234510,-6.5994047308,7.378268487100001,1.6869399330000001,203
97767,184931,234510,-6.4247286809999995,7.4273213504,1.6295121905999999,204
97728,184907,234542,-6.437889205299999,7.2837519944,1.7120645703,205
97707,184867,234547,-6.532405698,7.381857721,1.6941184008,206
97681,184889,234538,-6.508477471999999,7.3962146566,1.603191142,207
97711,184845,234514,-6.4654066652,7.3842505436,1.6486547714,208
97733,184940,234542,-6.4917277138,7.430910584299999,1.7192430381,209
97736,184932,234511,-6.502495415499999,7.3686971967,1.6666009409,210
97896,184915,234566,-6.467799487800001,7.457231632899999,1.6761722313,211
97991,184882,234525,-6.546762633599999,7.3567330837,1.567298803,212
97997,184975,234537,-6.6017975534,7.459624455499999,1.6486547714,213
97949,184963,234541,-6.508477471999999,7.3316084464,1.6749758199999998,214
98052,184962,234566,-6.5970119082,7.377072075799999,1.5888342063999998,215
98207,184936,234525,-6.4989061816,7.4117680035,1.6175480776,216
98375,185015,234573,-6.6053867873000005,7.2933232848,1.6103696098,217
98472,184951,234582,-6.4869420686,7.317251510799999,1.5720844482,218
98259,184878,234490,-6.4989061816,7.5122665527,1.6043875533,219
98178,184852,234520,-6.5300128754,7.310073043,1.5134602944999997,220
98039,184840,234492,-6.6221365455,7.4356962295,1.6271193679999998,221
97742,184860,234454,-6.4151573906,7.3830541323,1.6223337227999999,222
97533,184833,234499,-6.3924255759,7.286144817,1.5696916256,223
97546,184879,234469,-6.5036918268,7.2969125187,1.6749758199999998,224
97457,184840,234489,-6.549155456199999,7.319644333399999,1.5936198516,225
97281,184860,234447,-6.544369811,7.4021967130999995,1.6725829974,226
97418,184870,234480,-6.464210253899999,7.4117680035,1.7048861025,227
97479,184865,234505,-6.5192451737,7.405785946999999,1.6833506991,228
97426,184871,234475,-6.435496382699999,7.3830541323,1.6103696098,229
97544,184873,234507,-6.4630138426,7.3842505436,1.5732808595,230
97541,184877,234449,-6.4235322697,7.4201428826,1.5864413838,231
97417,184870,234499,-6.4307107375,7.4249285278,1.7024932798999999,232
97503,184869,234495,-6.5036918268,7.4488567538,1.6761722313,233
97615,184871,234544,-6.5072810607,7.3746792532,1.6534404165999999,234
97723,184881,234530,-6.435496382699999,7.415357237399999,1.6199409001999998,235
97747,184917,234503,-6.592226263000001,7.505088084900001,1.6869399330000001,236
97778,184906,234482,-6.4737815442999995,7.2909304621999995,1.6821542877999998,237
